       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:38               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s

*****   MF file version = 1    V255Q LINE2 .ICL001. 1   *****

     1    297.000        0.008      -252.424       171.214        0.002        0.555        0.458        0.002      -98.190
     2    298.000        0.010      -108.658       613.724        0.002        0.486        0.401        0.002      -98.601
     3    299.000        0.009      -252.336       171.198        0.002        0.609        0.502        0.002      -99.012
     4    300.000        0.010       586.599      -387.670        0.002        0.629        0.519        0.003      -99.423
     5    300.000        0.008       546.633      -531.303        0.002        0.726        0.599        0.003      -99.423
     6    300.000        0.008       605.743      -613.704        0.002        0.764        0.630        0.003      -99.423
     7    300.000        0.007      -529.372      -585.301        0.002        0.823        0.679        0.003      -99.423
     8    301.000        0.010      -389.522      -609.785        0.003        0.729        0.602        0.003      -99.834
     9    302.000        0.012      -132.967      -610.767        0.003        0.688        0.567        0.003     -100.245
    10    302.000        0.008      -141.492      -608.226        0.003        0.999        0.824        0.004     -100.245
    11    303.000        0.022      -389.251      -609.513        0.004        0.511        0.421        0.004     -100.656
    12    303.000        0.015       -51.213      -609.988        0.004        0.759        0.626        0.006     -100.656
    13    303.000        0.012       446.965      -607.048        0.004        0.926        0.764        0.006     -100.656
    14    305.000        0.098       573.970      -604.174        0.021        0.554        0.457        0.023     -101.478
    15    305.000        0.090       570.555      -614.036        0.021        0.602        0.496        0.019     -101.478
    16    305.000        0.083      -252.987      -296.839        0.021        0.652        0.538        0.019     -101.478
    17    305.000        0.077      -612.908       512.462        0.021        0.702        0.579        0.027     -101.478
    18    305.000        0.060       578.015      -612.821        0.021        0.899        0.741        0.019     -101.478
    19    306.000        0.093      -612.621       387.166        0.020        0.562        0.463        0.014     -101.889
    20    306.000        0.079      -340.677      -612.649        0.020        0.666        0.550        0.030     -101.889
    21    306.000        0.075       612.697       419.604        0.020        0.700        0.577        0.024     -101.889
    22    306.000        0.061       439.678      -613.584        0.020        0.854        0.704        0.017     -101.889
    23    306.000        0.050       433.214      -606.071        0.020        1.053        0.869        0.017     -101.889
    24    307.000        0.101       612.101       235.634        0.020        0.588        0.485        0.017     -102.300
    25    307.000        0.098       530.648       607.159        0.021        0.557        0.459        0.024     -102.300
    26    307.000        0.096      -390.285      -423.551        0.021        0.566        0.467        0.019     -102.300
    27    307.000        0.087       271.849      -156.471        0.021        0.626        0.516        0.020     -102.300
    28    307.000        0.073      -178.019       317.227        0.021        0.747        0.616        0.019     -102.300
    29    307.000        0.069      -212.495       394.282        0.021        0.789        0.651        0.024     -102.300
    30    307.000        0.047       605.101       239.148        0.021        1.166        0.961        0.024     -102.300
    31    308.000        0.080      -614.084      -541.720        0.021        0.686        0.566        0.025     -102.711
    32    309.000        0.104      -446.270      -506.614        0.020        0.515        0.425        0.023     -103.122
    33    309.000        0.074      -151.517      -610.238        0.020        0.723        0.596        0.031     -103.122
    34    311.000        0.079       300.325      -363.663        0.021        0.712        0.587        0.021     -103.944
    35    311.000        0.077       587.968         2.086        0.021        0.733        0.605        0.028     -103.944
    36    312.000        0.111      -469.383         4.362        0.021        0.489        0.404        0.023     -104.355
    37    312.000        0.107       261.599      -605.450        0.021        0.510        0.420        0.025     -104.355
    38    312.000        0.099       364.205      -614.370        0.021        0.551        0.454        0.026     -104.355
    39    312.000        0.095       260.236        74.849        0.021        0.571        0.471        0.022     -104.355
    40    312.000        0.082       103.065      -406.983        0.021        0.665        0.549        0.022     -104.355
    41    312.000        0.079      -333.663      -612.618        0.021        0.690        0.569        0.019     -104.355
    42    313.000        0.116      -612.591       596.415        0.021        0.519        0.428        0.018     -104.766
    43    313.000        0.089       335.156       360.128        0.021        0.618        0.510        0.027     -104.766
    44    313.000        0.089       128.949       597.038        0.021        0.622        0.513        0.027     -104.766
    45    313.000        0.087       612.313       596.154        0.021        0.633        0.522        0.024     -104.766
    46    313.000        0.066      -604.816       593.037        0.021        0.830        0.685        0.020     -104.766
    47    314.000        0.082       536.661      -295.587        0.022        0.707        0.583        0.024     -105.177
    48    315.000        0.090      -566.553      -138.048        0.021        0.626        0.516        0.015     -105.588
    49    315.000        0.089      -152.983      -470.614        0.021        0.630        0.520        0.024     -105.588
    50    316.000        0.105       612.966       292.386        0.022        0.549        0.452        0.034     -105.999
    51    316.000        0.087       438.493       374.614        0.022        0.665        0.549        0.028     -105.999
    52    317.000        0.094       532.260      -606.231        0.021        0.590        0.486        0.030     -106.410
    53    317.000        0.088      -160.277       500.393        0.021        0.630        0.520        0.024     -106.410
       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:38               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s

    54    317.000        0.076       266.631       -78.157        0.021        0.736        0.607        0.021     -106.410
    55    317.000        0.075      -308.085       146.216        0.021        0.813        0.670        0.024     -106.410
    56    317.000        0.072       479.770      -525.154        0.021        0.772        0.637        0.027     -106.410
    57    317.000        0.044      -313.317       148.205        0.021        1.268        1.046        0.020     -106.410
    58    319.000        0.114      -610.353      -364.788        0.021        0.494        0.408        0.026     -107.231
    59    319.000        0.106       -36.813       229.022        0.021        0.530        0.437        0.024     -107.231
    60    319.000        0.100       -56.675        47.336        0.021        0.563        0.464        0.019     -107.231
    61    319.000        0.089      -172.438       -70.942        0.021        0.631        0.521        0.024     -107.231
    62    319.000        0.084       606.385      -421.281        0.021        0.726        0.599        0.033     -107.231
    63    319.000        0.062       612.270      -419.154        0.021        0.908        0.749        0.033     -107.231
    64    319.000        0.060       512.572      -611.186        0.021        0.939        0.775        0.021     -107.231
    65    320.000        0.090       -65.756      -560.168        0.021        0.611        0.504        0.021     -107.642
    66    320.000        0.085       318.548        37.072        0.021        0.645        0.532        0.021     -107.642
    67    320.000        0.084       -39.086      -561.615        0.021        0.652        0.537        0.021     -107.642
    68    320.000        0.074      -431.431       362.151        0.021        0.740        0.610        0.022     -107.642
    69    320.000        0.067      -323.734       607.607        0.021        0.811        0.669        0.026     -107.642
    70    320.000        0.059      -328.883       607.978        0.021        1.017        0.839        0.025     -107.642
    71    321.000        0.095      -603.804      -379.227        0.021        0.592        0.488        0.029     -108.053
    72    321.000        0.083      -412.719      -381.229        0.021        0.678        0.559        0.019     -108.053
    73    322.000        0.108      -503.046       193.178        0.022        0.534        0.440        0.024     -108.464
    74    322.000        0.102       401.517      -189.789        0.022        0.567        0.467        0.026     -108.464
    75    323.000        0.108       612.044       175.483        0.021        0.568        0.469        0.014     -108.875
    76    323.000        0.093      -451.798       495.826        0.021        0.607        0.500        0.020     -108.875
    77    323.000        0.085       138.428        63.166        0.021        0.665        0.548        0.023     -108.875
    78    323.000        0.078      -364.153      -269.430        0.021        0.717        0.591        0.025     -108.875
    79    323.000        0.059       604.651       175.088        0.021        0.950        0.784        0.020     -108.875
    80    324.000        0.094      -270.615       241.493        0.021        0.585        0.482        0.021     -109.286
    81    324.000        0.088      -444.877      -445.171        0.021        0.631        0.521        0.021     -109.286
    82    324.000        0.086      -506.090       528.085        0.021        0.640        0.528        0.025     -109.286
    83    324.000        0.081       612.668      -590.978        0.021        0.684        0.564        0.029     -109.286
    84    324.000        0.077      -441.085      -294.441        0.021        0.721        0.595        0.024     -109.286
    85    324.000        0.076      -434.889      -294.885        0.021        0.788        0.650        0.024     -109.286
    86    325.000        0.092      -414.234      -563.608        0.021        0.617        0.508        0.021     -109.697
    87    326.000        0.098       611.608      -555.101        0.021        0.564        0.465        0.023     -110.108
    88    326.000        0.091      -612.699      -548.176        0.021        0.605        0.499        0.028     -110.108
    89    326.000        0.077       407.103      -473.103        0.021        0.718        0.592        0.026     -110.108
    90    326.000        0.074      -613.572       408.078        0.021        0.743        0.613        0.024     -110.108
    91    327.000        0.110       -25.848       191.270        0.021        0.509        0.420        0.022     -110.519
    92    327.000        0.105      -611.726      -613.369        0.021        0.531        0.438        0.032     -110.519
    93    327.000        0.103       612.791       -46.160        0.021        0.540        0.446        0.026     -110.519
    94    327.000        0.096       612.488       -36.565        0.021        0.583        0.481        0.026     -110.519
    95    327.000        0.091       501.861       -65.009        0.021        0.617        0.509        0.023     -110.519
    96    327.000        0.087      -611.350      -309.065        0.021        0.699        0.576        0.020     -110.519
    97    327.000        0.077      -446.963        -4.919        0.021        0.726        0.599        0.020     -110.519
    98    327.000        0.073       241.666      -344.559        0.021        0.761        0.628        0.023     -110.519
    99    327.000        0.045      -603.593      -309.998        0.021        1.248        1.030        0.017     -110.519
   100    328.000        0.124       541.432      -170.053        0.020        0.437        0.360        0.018     -110.930
   101    328.000        0.090      -613.711      -226.353        0.020        0.603        0.497        0.018     -110.930
   102    328.000        0.081      -612.844      -193.971        0.020        0.667        0.550        0.035     -110.930
   103    329.000        0.104       566.259       547.054        0.020        0.511        0.421        0.019     -111.341
   104    329.000        0.104       164.265       385.699        0.020        0.511        0.421        0.020     -111.341
   105    329.000        0.092      -157.225       296.663        0.020        0.580        0.478        0.028     -111.341
   106    330.000        0.091        81.979       609.003        0.021        0.615        0.507        0.016     -111.752
   107    330.000        0.089      -593.726       263.285        0.021        0.631        0.520        0.019     -111.752
   108    330.000        0.084       -16.542       178.997        0.021        0.664        0.547        0.019     -111.752
       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:38               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s

   109    331.000        0.097       235.670       317.891        0.021        0.577        0.476        0.023     -112.163
   110    331.000        0.096       554.227      -157.125        0.021        0.578        0.477        0.024     -112.163
   111    331.000        0.089      -614.259      -587.955        0.021        0.680        0.560        0.022     -112.163
   112    331.000        0.088       435.028      -401.384        0.021        0.633        0.522        0.022     -112.163
   113    331.000        0.082       609.984      -134.661        0.021        0.679        0.560        0.017     -112.163
   114    331.000        0.049      -607.594      -587.494        0.021        1.129        0.931        0.024     -112.163
   115    332.000        0.122       179.895      -242.728        0.022        0.469        0.387        0.022     -112.574
   116    332.000        0.094      -456.323       376.290        0.022        0.608        0.501        0.021     -112.574
   117    332.000        0.087       608.393       118.347        0.022        0.652        0.538        0.022     -112.574
   118    333.000        0.145      -300.109      -610.692        0.021        0.390        0.322        0.019     -112.985
   119    333.000        0.089       610.260       -63.523        0.021        0.633        0.522        0.024     -112.985
   120    333.000        0.086       206.083        53.109        0.021        0.660        0.544        0.021     -112.985
   121    334.000        0.076       488.400      -491.270        0.021        0.713        0.588        0.022     -113.396
