       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255S LINE2 .ICL001. 1   *****
 
     1      4.000        0.052       611.180      -609.743        0.014        0.804        0.753        0.013       22.323
     2      6.000        0.066       -64.366      -612.493        0.015        0.667        0.626        0.012       21.568
     3      6.000        0.030      -435.576      -609.071        0.015        1.462        1.371        0.017       21.568
     4      6.000        0.029       431.079      -267.213        0.015        1.510        1.416        0.015       21.568
     5      7.000        0.049       613.471      -501.354        0.011        0.666        0.625        0.013       21.190
     6      7.000        0.040      -519.328       -52.596        0.011        0.829        0.778        0.013       21.190
     7      7.000        0.032      -484.456         0.631        0.011        1.021        0.957        0.013       21.190
     8      7.000        0.030      -323.962       117.941        0.011        1.093        1.025        0.014       21.190
     9      7.000        0.026       356.326      -353.735        0.011        1.249        1.171        0.013       21.190
    10      8.000        0.035      -422.186      -611.609        0.012        0.984        0.923        0.014       20.813
    11      8.000        0.031      -429.754      -526.951        0.012        1.135        1.065        0.014       20.813
    12      9.000        0.029      -162.287       215.776        0.011        1.164        1.092        0.016       20.435
    13     10.000        0.067        26.847      -613.621        0.011        0.489        0.458        0.009       20.057
    14     10.000        0.035      -349.036       332.187        0.011        0.949        0.890        0.014       20.057
    15     10.000        0.023       607.010      -192.046        0.011        1.436        1.346        0.015       20.057
    16     11.000        0.042       414.214      -321.925        0.012        0.877        0.822        0.016       19.680
    17     11.000        0.036      -574.450       -62.045        0.012        1.006        0.944        0.015       19.680
    18     11.000        0.033       -63.273        65.840        0.012        1.111        1.042        0.015       19.680
    19     12.000        0.078      -613.412      -569.056        0.013        0.514        0.482        0.014       19.302
    20     12.000        0.063       370.313      -614.012        0.013        0.636        0.596        0.011       19.302
    21     12.000        0.039       366.368      -604.168        0.013        1.043        0.978        0.014       19.302
    22     12.000        0.036       360.024      -608.951        0.013        1.119        1.050        0.014       19.302
    23     14.000        0.062       172.205      -609.613        0.013        0.631        0.592        0.019       18.547
    24     15.000        0.050      -131.552      -606.213        0.011        0.648        0.607        0.017       18.169
    25     16.000        0.050       350.933      -613.597        0.013        0.753        0.706        0.016       17.792
    26     16.000        0.038      -454.906      -588.944        0.013        0.994        0.932        0.017       17.792
    27     16.000        0.036      -447.245      -593.938        0.013        1.049        0.984        0.020       17.792
    28     17.000        0.048      -245.179      -611.591        0.015        0.966        0.905        0.014       17.414
    29     17.000        0.047      -252.688      -606.053        0.015        0.969        0.908        0.020       17.414
    30     18.000        0.044       458.567      -613.780        0.011        0.756        0.709        0.010       17.036
    31     18.000        0.038       450.862      -607.911        0.011        0.871        0.817        0.013       17.036
    32     19.000        0.049      -295.660      -611.722        0.012        0.742        0.696        0.012       16.659
    33     19.000        0.034      -353.753      -492.350        0.012        1.073        1.006        0.015       16.659
    34     19.000        0.023      -174.165      -523.898        0.012        1.618        1.517        0.013       16.659
    35     20.000        0.035       290.667       369.799        0.011        0.949        0.890        0.013       16.281
    36     20.000        0.034       322.504       356.241        0.011        0.962        0.902        0.012       16.281
    37     20.000        0.027       294.155      -608.433        0.011        1.212        1.136        0.014       16.281
    38     21.000        0.038       -40.336      -613.082        0.012        0.921        0.864        0.012       15.903
    39     21.000        0.032      -192.719      -535.757        0.012        1.068        1.001        0.014       15.903
    40     21.000        0.031       577.949      -609.656        0.012        1.130        1.059        0.013       15.903
    41     22.000        0.031       453.235      -497.811        0.013        1.220        1.144        0.013       15.526
    42     23.000        0.059       410.904      -601.354        0.012        0.609        0.571        0.017       15.148
    43     23.000        0.051       418.733      -608.563        0.012        0.705        0.661        0.017       15.148
    44     24.000        0.048      -612.738       416.974        0.011        0.670        0.628        0.015       14.770
    45     24.000        0.039      -444.597       -62.339        0.011        0.825        0.774        0.013       14.770
    46     24.000        0.037      -286.261      -519.684        0.011        0.870        0.816        0.013       14.770
    47     24.000        0.033       290.851       188.675        0.011        0.958        0.898        0.014       14.770
    48     24.000        0.032        35.274      -186.947        0.011        1.006        0.943        0.014       14.770
    49     25.000        0.043       510.630      -550.356        0.012        0.827        0.776        0.013       14.393
    50     25.000        0.030       130.165      -605.207        0.012        1.168        1.095        0.016       14.393
    51     25.000        0.027      -601.766      -471.678        0.012        1.336        1.253        0.014       14.393
    52     26.000        0.042       562.492       445.975        0.010        0.679        0.637        0.010       14.015
    53     26.000        0.031       328.248       435.780        0.010        0.941        0.882        0.011       14.015
       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
    54     26.000        0.030       560.939      -464.449        0.010        0.953        0.894        0.012       14.015
    55     26.000        0.024      -408.051       128.123        0.010        1.183        1.109        0.013       14.015
    56     27.000        0.154       609.034      -612.919        0.012        0.228        0.214        0.011       13.637
    57     27.000        0.049      -407.110      -613.672        0.012        0.721        0.676        0.011       13.637
    58     27.000        0.045       613.998      -605.643        0.012        0.777        0.729        0.013       13.637
    59     27.000        0.032       -25.445      -426.834        0.012        1.098        1.030        0.012       13.637
    60     27.000        0.026      -534.614      -512.891        0.012        1.363        1.278        0.013       13.637
    61     28.000        0.027      -606.127      -597.530        0.011        1.240        1.163        0.012       13.260
    62     29.000        0.045       575.882      -607.322        0.013        0.844        0.792        0.019       12.882
    63     30.000        0.054      -609.857      -548.179        0.011        0.619        0.581        0.015       12.504
    64     30.000        0.053       612.936      -552.353        0.011        0.637        0.597        0.016       12.504
    65     30.000        0.033       441.929      -509.335        0.011        1.003        0.940        0.016       12.504
    66     31.000        0.100       -65.727      -612.665        0.013        0.395        0.370        0.016       12.127
    67     31.000        0.053        76.313      -610.823        0.013        0.748        0.701        0.016       12.127
    68     31.000        0.039       371.522      -611.485        0.013        1.003        0.940        0.015       12.127
    69     31.000        0.037      -606.766      -579.511        0.013        1.069        1.002        0.015       12.127
    70     32.000        0.033      -177.391       -84.135        0.010        0.955        0.895        0.012       11.749
    71     33.000        0.038      -535.091       433.656        0.011        0.830        0.778        0.017       11.371
    72     33.000        0.025      -498.628      -547.981        0.011        1.257        1.179        0.012       11.371
    73     33.000        0.024      -229.438       359.986        0.011        1.298        1.217        0.013       11.371
    74     34.000        0.032      -442.444       -47.491        0.011        1.003        0.940        0.016       10.994
    75     34.000        0.031       606.359      -444.943        0.011        1.047        0.982        0.015       10.994
    76     34.000        0.027       494.041      -606.441        0.011        1.186        1.112        0.015       10.994
    77     34.000        0.027      -609.065       -18.056        0.011        1.218        1.142        0.016       10.994
    78     34.000        0.021       -16.320      -119.048        0.011        1.547        1.451        0.013       10.994
    79     35.000        0.027       286.369      -486.264        0.011        1.235        1.158        0.017       10.616
    80     35.000        0.025      -462.688      -166.819        0.011        1.353        1.268        0.013       10.616
    81     36.000        0.068       558.107      -613.723        0.014        0.598        0.561        0.017       10.238
    82     36.000        0.055      -526.477      -612.999        0.014        0.735        0.689        0.012       10.238
    83     36.000        0.044      -610.424      -493.950        0.014        0.936        0.878        0.016       10.238
    84     36.000        0.032      -243.360      -443.417        0.014        1.284        1.204        0.017       10.238
    85     37.000        0.043       -23.192      -536.012        0.010        0.702        0.658        0.015        9.861
    86     37.000        0.039       331.711       -32.792        0.010        0.776        0.727        0.014        9.861
    87     37.000        0.035       -73.547       527.908        0.010        0.864        0.810        0.014        9.861
    88     37.000        0.023      -403.720      -436.863        0.010        1.309        1.227        0.013        9.861
    89     38.000        0.032       528.665      -612.532        0.012        1.160        1.087        0.014        9.483
    90     39.000        0.036      -614.156       307.063        0.011        0.919        0.862        0.011        9.106
    91     39.000        0.035       612.976      -443.131        0.011        0.930        0.872        0.017        9.106
    92     39.000        0.030      -353.201       226.714        0.011        1.096        1.027        0.013        9.106
    93     40.000        0.065       612.190      -520.505        0.012        0.557        0.522        0.016        8.728
    94     40.000        0.023      -606.980      -389.970        0.012        1.741        1.633        0.014        8.728
    95     40.000        0.022      -611.434      -381.482        0.012        1.687        1.582        0.011        8.728
    96     42.000        0.040       551.664      -596.459        0.012        0.868        0.814        0.015        7.973
    97     42.000        0.037       555.422       314.627        0.012        0.957        0.898        0.013        7.973
    98     42.000        0.030       187.865      -611.839        0.012        1.168        1.095        0.012        7.973
    99     42.000        0.024       537.782       207.542        0.012        1.482        1.389        0.017        7.973
   100     43.000        0.030       612.569      -304.623        0.011        1.132        1.061        0.015        7.595
   101     44.000        0.033       -47.789      -118.296        0.010        0.948        0.889        0.012        7.217
   102     44.000        0.029       196.668        33.298        0.010        1.057        0.991        0.012        7.217
   103     44.000        0.026      -579.903      -100.191        0.010        1.206        1.130        0.016        7.217
   104     45.000        0.035      -337.914      -613.909        0.011        0.962        0.902        0.014        6.840
   105     45.000        0.033      -306.888      -528.358        0.011        0.998        0.936        0.013        6.840
   106     45.000        0.027      -215.957      -405.723        0.011        1.211        1.136        0.015        6.840
   107     45.000        0.024      -608.057      -445.064        0.011        1.367        1.281        0.015        6.840
   108     46.000        0.068       448.748      -614.148        0.014        0.625        0.586        0.016        6.462
       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109     46.000        0.050      -468.836      -613.532        0.014        0.853        0.800        0.013        6.462
   110     46.000        0.039       450.593      -602.731        0.014        1.081        1.013        0.015        6.462
   111     46.000        0.037      -127.915      -609.495        0.014        1.146        1.075        0.018        6.462
   112     47.000        0.078       611.074      -537.831        0.011        0.419        0.392        0.013        6.084
   113     47.000        0.040       593.351      -611.198        0.011        0.817        0.766        0.015        6.084
   114     47.000        0.026       143.447      -170.240        0.011        1.245        1.168        0.014        6.084
   115     48.000        0.062      -586.335      -613.127        0.011        0.533        0.500        0.011        5.707
   116     48.000        0.045       611.329       244.763        0.011        0.744        0.697        0.014        5.707
   117     48.000        0.039      -595.102       232.317        0.011        0.840        0.787        0.012        5.707
   118     48.000        0.037       249.853      -414.332        0.011        0.887        0.832        0.015        5.707
   119     48.000        0.034       529.696       -50.542        0.011        0.974        0.913        0.015        5.707
   120     48.000        0.032      -610.142      -600.658        0.011        1.031        0.967        0.014        5.707
   121     48.000        0.019       111.170       -52.446        0.011        1.730        1.622        0.013        5.707
   122     49.000        0.061       605.888      -609.593        0.011        0.514        0.482        0.018        5.329
   123     49.000        0.032       157.619       -29.377        0.011        0.976        0.915        0.011        5.329
