       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255U LINE2 .ICL001. 1   *****
 
     1    620.000        0.018       335.919      -612.847        0.003        0.573        0.481        0.005     -393.204
     2    620.000        0.014       225.327      -614.089        0.003        0.750        0.630        0.003     -393.204
     3    620.000        0.011      -593.193      -614.325        0.003        0.944        0.793        0.005     -393.204
     4    620.000        0.010       391.976      -612.324        0.003        1.103        0.927        0.003     -393.204
     5    620.000        0.009      -606.288      -610.452        0.003        1.127        0.946        0.006     -393.204
     6    620.000        0.007       219.596      -602.625        0.003        1.455        1.222        0.004     -393.204
     7    621.000        0.026       488.863      -609.608        0.006        0.660        0.554        0.009     -393.841
     8    626.000        0.024       -17.394      -609.266        0.007        0.923        0.775        0.009     -397.025
     9    626.000        0.022        -8.786      -605.689        0.007        0.980        0.823        0.008     -397.025
    10    628.000        0.023       -72.009      -613.962        0.007        1.022        0.859        0.008     -398.298
    11    629.000        0.018        26.254      -614.368        0.007        1.239        1.041        0.005     -398.935
    12    630.000        0.029       118.296      -611.302        0.008        0.819        0.688        0.008     -399.572
    13    631.000        0.033       361.359      -610.772        0.007        0.698        0.586        0.009     -400.209
    14    631.000        0.022        99.148      -611.024        0.007        1.067        0.896        0.010     -400.209
    15    631.000        0.020       106.923      -606.377        0.007        1.142        0.959        0.010     -400.209
    16    631.000        0.015       407.551      -614.178        0.007        1.528        1.283        0.006     -400.209
    17    631.000        0.015       401.724      -607.257        0.007        1.583        1.329        0.007     -400.209
    18    631.000        0.013       370.059      -604.565        0.007        1.778        1.493        0.010     -400.209
    19    632.000        0.019       273.975      -611.823        0.007        1.146        0.963        0.009     -400.845
    20    632.000        0.019       456.995      -612.018        0.007        1.187        0.997        0.006     -400.845
    21    632.000        0.014       278.416      -604.553        0.007        1.551        1.303        0.007     -400.845
    22    632.000        0.013       -49.509      -607.097        0.007        1.698        1.426        0.008     -400.845
    23    633.000        0.017      -296.555      -606.766        0.007        1.245        1.046        0.007     -401.482
    24    633.000        0.015      -591.404      -609.693        0.007        1.413        1.186        0.007     -401.482
    25    633.000        0.015      -303.528      -611.299        0.007        1.430        1.201        0.007     -401.482
    26    636.000        0.045       612.534       -86.288        0.007        0.478        0.402        0.007     -403.393
    27    637.000        0.058      -575.743      -614.097        0.007        0.390        0.327        0.009     -404.029
    28    637.000        0.022       314.321      -609.598        0.007        1.018        0.855        0.008     -404.029
    29    637.000        0.022      -439.605      -607.738        0.007        1.038        0.872        0.010     -404.029
    30    637.000        0.021       303.876      -611.661        0.007        1.079        0.906        0.007     -404.029
    31    637.000        0.021        12.087      -606.529        0.007        1.081        0.908        0.009     -404.029
    32    637.000        0.019      -449.087      -610.793        0.007        1.203        1.010        0.009     -404.029
    33    638.000        0.027       262.010      -605.726        0.008        0.877        0.736        0.010     -404.666
    34    638.000        0.023       270.046      -613.317        0.008        1.021        0.857        0.006     -404.666
    35    640.000        0.026      -128.991      -612.638        0.008        0.877        0.737        0.008     -405.940
    36    642.000        0.022       -41.849      -614.296        0.007        1.004        0.843        0.007     -407.213
    37    643.000        0.030       221.943      -614.081        0.007        0.723        0.607        0.006     -407.850
    38    644.000        0.018      -187.552      -611.595        0.007        1.215        1.020        0.008     -408.487
    39    644.000        0.014      -181.148      -605.402        0.007        1.538        1.291        0.007     -408.487
    40    645.000        0.022        96.225      -612.156        0.007        1.010        0.848        0.007     -409.124
    41    645.000        0.017       105.993      -608.922        0.007        1.334        1.120        0.009     -409.124
    42    647.000        0.045       423.613       612.135        0.007        0.501        0.421        0.007     -410.397
    43    647.000        0.029       -93.583      -611.721        0.007        0.784        0.659        0.008     -410.397
    44    647.000        0.019       -42.344      -608.698        0.007        1.207        1.013        0.007     -410.397
    45    647.000        0.018       -51.011      -609.730        0.007        1.247        1.047        0.006     -410.397
    46    648.000        0.019       424.217      -602.414        0.007        1.191        1.000        0.009     -411.034
    47    648.000        0.019       428.185      -613.993        0.007        1.217        1.022        0.007     -411.034
    48    648.000        0.015       138.334      -613.158        0.007        1.513        1.271        0.008     -411.034
    49    649.000        0.024       547.918      -610.281        0.008        0.993        0.834        0.008     -411.671
    50    649.000        0.022      -123.811      -609.765        0.008        1.082        0.909        0.007     -411.671
    51    649.000        0.016      -116.129      -610.027        0.008        1.471        1.235        0.007     -411.671
    52    649.000        0.011       557.362      -607.195        0.008        2.216        1.861        0.009     -411.671
    53    651.000        0.041       601.362      -613.788        0.008        0.587        0.493        0.008     -412.945
       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
    54    651.000        0.018      -272.628      -610.982        0.008        1.317        1.106        0.014     -412.945
    55    651.000        0.018      -281.145      -604.838        0.008        1.337        1.123        0.009     -412.945
    56    652.000        0.105       -69.899       333.767        0.007        0.216        0.181        0.008     -413.582
    57    652.000        0.069       -76.604       329.042        0.007        0.329        0.276        0.008     -413.582
    58    652.000        0.024      -477.043      -612.254        0.007        0.931        0.782        0.005     -413.582
    59    652.000        0.016       294.074      -611.473        0.007        1.404        1.179        0.006     -413.582
    60    652.000        0.015      -483.444      -606.310        0.007        1.468        1.233        0.007     -413.582
    61    653.000        0.180       -69.895       333.609        0.007        0.122        0.103        0.012     -414.218
    62    653.000        0.091       -75.634       328.774        0.007        0.240        0.202        0.013     -414.218
    63    653.000        0.027       -93.661      -613.039        0.007        0.826        0.693        0.007     -414.218
    64    653.000        0.016       -89.503      -604.866        0.007        1.361        1.143        0.009     -414.218
    65    654.000        0.283       -70.074       333.646        0.008        0.091        0.076        0.018     -414.855
    66    654.000        0.181       -75.848       328.127        0.008        0.130        0.109        0.017     -414.855
    67    654.000        0.021      -526.043      -612.569        0.008        1.148        0.964        0.008     -414.855
    68    654.000        0.016      -533.307      -606.604        0.008        1.431        1.202        0.008     -414.855
    69    655.000        0.488       -69.904       333.624        0.008        0.051        0.043        0.013     -415.492
    70    655.000        0.230       -75.296       328.481        0.008        0.109        0.091        0.018     -415.492
    71    655.000        0.094       -69.226       324.514        0.008        0.266        0.224        0.014     -415.492
    72    655.000        0.040      -612.614        28.749        0.008        0.623        0.523        0.009     -415.492
    73    655.000        0.029      -120.512      -608.916        0.008        0.871        0.731        0.007     -415.492
    74    655.000        0.021      -110.379      -609.573        0.008        1.188        0.998        0.007     -415.492
    75    656.000        0.673       -69.890       333.692        0.010        0.044        0.037        0.025     -416.129
    76    656.000        0.333       -74.114       327.703        0.010        0.090        0.075        0.027     -416.129
    77    656.000        0.074       -52.934       358.009        0.010        0.402        0.338        0.010     -416.129
    78    656.000        0.033       517.288      -612.996        0.010        0.891        0.749        0.006     -416.129
    79    656.000        0.032       131.999      -287.576        0.010        0.922        0.774        0.012     -416.129
    80    656.000        0.032       511.466      -605.470        0.010        0.942        0.791        0.011     -416.129
    81    656.000        0.024       452.275      -613.044        0.010        1.244        1.044        0.009     -416.129
    82    656.000        0.020       446.435      -603.257        0.010        1.523        1.279        0.011     -416.129
    83    657.000        0.824       -69.914       333.660        0.009        0.035        0.030        0.041     -416.766
    84    657.000        0.398       -74.986       328.319        0.009        0.073        0.062        0.037     -416.766
    85    657.000        0.074       -50.594       356.350        0.009        0.396        0.333        0.011     -416.766
    86    658.000        0.975       -69.878       333.663        0.010        0.031        0.026        0.040     -417.402
    87    658.000        0.498       -74.855       328.214        0.010        0.060        0.051        0.042     -417.402
    88    658.000        0.081       -31.695       338.297        0.010        0.370        0.310        0.009     -417.402
    89    658.000        0.058        82.376       318.354        0.010        0.518        0.435        0.012     -417.402
    90    659.000        1.089       -69.857       333.644        0.011        0.030        0.025        0.039     -418.039
    91    659.000        0.540       -75.153       328.466        0.011        0.061        0.051        0.039     -418.039
    92    659.000        0.048        52.613      -184.805        0.011        0.678        0.569        0.012     -418.039
    93    660.000        1.100       -69.884       333.635        0.010        0.029        0.024        0.027     -418.676
    94    660.000        0.352       -76.906       329.814        0.010        0.091        0.076        0.019     -418.676
    95    660.000        0.305       -71.757       326.179        0.010        0.114        0.096        0.018     -418.676
    96    660.000        0.110       -49.897       355.873        0.010        0.290        0.243        0.011     -418.676
    97    660.000        0.051       614.096      -388.838        0.010        0.623        0.523        0.010     -418.676
    98    660.000        0.049      -359.975       277.684        0.010        0.651        0.546        0.010     -418.676
    99    660.000        0.045       264.187       589.934        0.010        0.712        0.598        0.009     -418.676
   100    660.000        0.034      -205.496       603.444        0.010        0.927        0.778        0.015     -418.676
   101    661.000        1.088       -69.895       333.653        0.010        0.029        0.025        0.028     -419.313
   102    661.000        0.333       -76.565       329.421        0.010        0.096        0.081        0.022     -419.313
   103    661.000        0.301       -71.418       325.776        0.010        0.116        0.098        0.021     -419.313
   104    661.000        0.066       -47.831       354.819        0.010        0.486        0.409        0.014     -419.313
   105    661.000        0.064       -54.473       358.521        0.010        0.500        0.420        0.013     -419.313
   106    661.000        0.055       -35.396       511.563        0.010        0.583        0.490        0.011     -419.313
   107    661.000        0.053       -31.280       338.845        0.010        0.603        0.506        0.010     -419.313
   108    661.000        0.044       -21.930       571.015        0.010        0.735        0.617        0.010     -419.313
       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109    661.000        0.041       -25.338       333.812        0.010        0.779        0.654        0.010     -419.313
   110    661.000        0.041       -25.038       599.103        0.010        0.791        0.664        0.011     -419.313
   111    661.000        0.038      -614.246       608.157        0.010        0.840        0.706        0.014     -419.313
   112    661.000        0.026       387.416      -613.702        0.010        1.249        1.049        0.009     -419.313
   113    662.000        1.017       -69.888       333.612        0.010        0.029        0.024        0.037     -419.950
   114    662.000        0.487       -74.525       328.051        0.010        0.060        0.051        0.039     -419.950
   115    662.000        0.085       -52.015       356.721        0.010        0.346        0.291        0.009     -419.950
   116    662.000        0.046      -166.772       613.187        0.010        0.641        0.539        0.011     -419.950
   117    663.000        0.843       -69.887       333.668        0.010        0.035        0.030        0.017     -420.586
   118    663.000        0.349       -76.539       329.506        0.010        0.085        0.072        0.017     -420.586
   119    663.000        0.214       -71.285       325.734        0.010        0.151        0.127        0.017     -420.586
   120    663.000        0.056       -31.231       338.304        0.010        0.528        0.443        0.012     -420.586
   121    663.000        0.028       500.866      -606.811        0.010        1.072        0.900        0.011     -420.586
