       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255R LINE2 .ICL001. 1   *****
 
     1   1277.000       10.645      -486.118       218.468         0.165        0.043        0.041        0.462     -500.939
     2   1278.000       11.282      -486.127       218.433         0.173        0.043        0.042        0.518     -501.350
     3   1279.000       11.378      -486.151       218.417         0.178        0.044        0.044        0.579     -501.761
     4   1280.000       11.412      -485.983       218.391         0.171        0.041        0.042        0.468     -502.172
     5   1281.000       11.447      -485.748       218.384         0.167        0.040        0.041        0.381     -502.583
     6   1282.000       12.659      -485.564       218.299         0.185        0.042        0.041        0.345     -502.994
     7   1283.000       13.874      -484.934       218.006         0.212        0.045        0.043        0.326     -503.405
     8   1284.000       16.114      -484.363       217.701         0.237        0.043        0.041        0.276     -503.816
     9   1285.000       17.924      -483.960       217.427         0.291        0.046        0.044        0.315     -504.227
    10   1286.000       19.505      -483.738       217.333         0.301        0.043        0.042        0.333     -504.638
    11   1287.000       20.276      -483.651       217.194         0.292        0.040        0.039        0.330     -505.048
    12   1288.000       19.468      -483.620       217.082         0.264        0.037        0.037        0.369     -505.459
    13   1289.000       17.537      -483.648       216.973         0.234        0.037        0.037        0.390     -505.870
    14   1290.000       14.172      -483.654       216.968         0.184        0.036        0.035        0.381     -506.281
    15   1291.000       11.847      -483.569       216.867         0.155        0.035        0.034        0.282     -506.692
    16   1299.000        9.384      -579.470       237.496         0.450        0.180        0.148        1.069     -509.980
    17   1303.000       21.346      -530.530       222.600         0.772        0.090        0.094        0.939     -511.624
    18   1304.000       33.967      -530.875       222.618         0.853        0.065        0.066        1.038     -512.035
    19   1305.000       49.284      -531.031       222.676         1.049        0.056        0.056        1.265     -512.446
    20   1305.000       13.342      -573.127       235.027         1.049        0.201        0.157        0.858     -512.446
    21   1305.000       11.859      -482.357       216.538         1.049        0.210        0.156        1.489     -512.446
    22   1306.000       60.779      -531.208       222.719         1.117        0.048        0.048        1.521     -512.857
    23   1306.000       14.710      -482.073       216.105         1.117        0.222        0.166        1.486     -512.857
    24   1306.000       13.955      -572.974       235.012         1.117        0.215        0.167        1.009     -512.857
    25   1307.000       68.826      -531.192       222.718         1.194        0.046        0.046        1.403     -513.268
    26   1307.000       24.945      -482.286       216.355         1.194        0.118        0.103        1.395     -513.268
    27   1307.000       11.006      -470.156       284.538         1.194        0.406        0.300        0.865     -513.268
    28   1308.000       67.368      -531.201       222.662         1.190        0.045        0.045        1.474     -513.679
    29   1308.000       30.379      -482.383       216.170         1.190        0.096        0.089        1.201     -513.679
    30   1308.000       11.342      -470.259       284.608         1.190        0.378        0.279        0.995     -513.679
    31   1309.000       62.470      -531.271       222.569         1.147        0.048        0.047        1.989     -514.090
    32   1309.000       31.989      -482.361       216.257         1.147        0.091        0.084        1.202     -514.090
    33   1309.000       12.332      -470.200       284.656         1.147        0.361        0.269        0.847     -514.090
    34   1310.000       53.458      -531.299       222.376         1.056        0.053        0.052        2.434     -514.501
    35   1310.000       31.838      -482.342       216.132         1.056        0.087        0.085        0.950     -514.501
    36   1311.000       34.853      -531.733       222.457         0.957        0.084        0.078        2.967     -514.912
    37   1311.000       28.673      -482.298       216.141         0.960        0.086        0.085        0.711     -514.912
    38   1312.000       21.138      -482.252       216.158         0.860        0.103        0.103        0.542     -515.323
    39   1312.000       19.684      -532.807       223.067         0.836        0.163        0.138        2.323     -515.323
    40   1312.000       10.868      -579.228       213.926         0.860        0.240        0.215        0.609     -515.323
    41   1313.000       11.950      -533.999       224.029         0.770        0.302        0.219        1.065     -515.734
    42   1313.000       11.128      -579.863       214.022         0.789        0.213        0.199        0.519     -515.734
    43   1313.000       11.063      -482.361       216.207         0.789        0.191        0.190        0.827     -515.734
    44   1313.000        3.028      -539.021       221.514         0.751        0.604        2.024        1.093     -515.734
    45   1314.000       11.744      -535.625       224.552         0.709        0.213        0.176        0.630     -516.145
    46   1314.000       10.681      -579.667       213.984         0.705        0.212        0.204        0.407     -516.145
    47   1315.000       19.601      -536.056       224.166         0.731        0.111        0.106        0.574     -516.556
    48   1316.000       35.154      -534.925       222.805         0.793        0.074        0.069        0.866     -516.967
    49   1317.000       49.584      -533.905       221.909         0.953        0.068        0.061        1.141     -517.378
    50   1318.000       61.406      -533.228       221.379         1.054        0.059        0.053        1.336     -517.788
    51   1319.000       61.794      -532.886       221.146         1.016        0.057        0.051        1.283     -518.199
    52   1320.000       51.629      -532.586       220.943         0.849        0.059        0.051        1.260     -518.610
    53   1321.000       36.021      -532.165       220.652         0.690        0.072        0.059        1.073     -519.021
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
    54   1322.000       17.439      -531.456       220.376         0.521        0.139        0.100        0.883     -519.432
    55   1322.000       16.689      -511.855       217.937         0.538        0.078        0.080        1.007     -519.432
    56   1323.000       21.109      -512.181       218.102         0.409        0.048        0.048        1.016     -519.843
    57   1324.000       17.587      -512.268       218.390         0.402        0.055        0.049        1.290     -520.254
    58   1327.000       23.659      -489.094       214.157         0.914        0.103        0.099        1.408     -521.487
    59   1328.000       44.596      -488.980       214.079         1.109        0.066        0.064        1.343     -521.898
    60   1328.000       12.224      -499.291       226.583         1.109        0.273        0.283        1.413     -521.898
    61   1328.000       11.059      -606.525       237.674         1.090        0.308        0.322        2.752     -521.898
    62   1329.000       61.068      -488.866       214.025         1.366        0.057        0.057        1.205     -522.309
    63   1329.000       20.249      -612.424       246.528         1.358        0.212        0.199        0.637     -522.309
    64   1329.000       10.971      -605.154       237.184         1.366        0.313        0.278        0.507     -522.309
    65   1330.000       72.558      -488.786       213.894         1.403        0.050        0.050        1.199     -522.720
    66   1330.000       19.949      -611.607       246.493         1.403        0.210        0.197        0.846     -522.720
    67   1330.000       13.651      -604.285       237.239         1.403        0.260        0.241        0.585     -522.720
    68   1331.000       74.249      -488.727       213.764         1.457        0.051        0.051        1.252     -523.131
    69   1331.000       21.514      -611.062       246.234         1.457        0.203        0.193        0.667     -523.131
    70   1331.000       13.358      -603.482       236.957         1.457        0.273        0.247        0.675     -523.131
    71   1331.000       12.141      -502.735       235.251         1.452        0.356        0.355        2.059     -523.131
    72   1332.000       68.297      -488.624       213.636         1.446        0.054        0.054        1.540     -523.542
    73   1332.000       16.231      -610.639       246.135         1.446        0.257        0.238        1.636     -523.542
    74   1332.000       15.210      -501.857       234.781         1.446        0.232        0.231        1.365     -523.542
    75   1332.000       10.765        95.505       -57.438         1.446        0.303        0.314        0.725     -523.542
    76   1333.000       59.011      -488.617       213.549         1.412        0.061        0.062        1.534     -523.953
    77   1333.000       12.028      -441.560       221.690         1.412        0.327        0.303        1.432     -523.953
    78   1333.000       11.047      -610.720       245.928         1.412        0.357        0.320        0.628     -523.953
    79   1334.000       51.332      -488.594       213.379         1.011        0.051        0.052        1.140     -524.364
    80   1335.000       42.776      -488.603       213.249         0.717        0.045        0.045        0.657     -524.775
    81   1336.000       33.833      -488.622       213.172         0.478        0.037        0.038        0.387     -525.186
    82   1337.000       24.374      -488.648       213.066         0.316        0.035        0.035        0.262     -525.597
    83   1338.000       16.947      -488.590       213.023         0.235        0.037        0.038        0.192     -526.008
    84   1338.000       10.623       -71.326        30.955         0.235        0.057        0.059        0.239     -526.008
    85   1339.000       10.600      -488.562       212.903         0.194        0.050        0.051        0.180     -526.419
    86   1339.000        9.966       -71.231        30.881         0.194        0.051        0.052        0.189     -526.419
    87   1341.000       14.478         0.004        -0.008         0.285        0.051        0.053        0.226     -527.241
    88   1342.000       34.077         0.005        -0.012         0.526        0.040        0.042        0.401     -527.652
    89   1343.000       75.730        -0.024        -0.059         1.174        0.040        0.042        0.729     -528.063
    90   1344.000      145.178        -0.027        -0.055         2.147        0.038        0.040        1.383     -528.474
    91   1344.000        8.886       112.144       -93.426         2.010        0.992        1.071        1.942     -528.474
    92   1345.000      233.690        -0.004        -0.034         3.492        0.039        0.040        2.158     -528.885
    93   1345.000       10.749      -439.987      -614.306         3.168        2.540        2.939        2.610     -528.885
    94   1345.000        9.079      -392.400      -567.421         3.198        2.083        2.214        3.181     -528.885
    95   1345.000        8.787      -319.240      -594.053         3.187        2.414        2.469        3.271     -528.885
    96   1345.000        8.540      -350.224      -612.467         3.143        3.090        4.391        2.987     -528.885
    97   1346.000      307.918        -0.001        -0.023         4.694        0.040        0.041        2.818     -529.296
    98   1346.000       19.579      -614.119       304.608         4.276        1.616        1.370        3.449     -529.296
    99   1347.000      334.220        -0.004         0.009         4.905        0.038        0.039        2.956     -529.707
   100   1347.000       20.521      -614.010       304.376         4.469        1.597        1.436        4.322     -529.707
   101   1347.000       19.321       111.393       -92.036         4.551        1.173        1.260        3.795     -529.707
   102   1348.000      301.539        -0.004         0.012         4.573        0.039        0.041        2.746     -530.118
   103   1348.000       19.402      -612.554       303.292         4.203        1.342        1.158        3.447     -530.118
   104   1348.000       13.912       578.985      -613.206         4.372        1.306        1.411        2.981     -530.118
   105   1348.000        9.408       569.706      -610.929         4.115        2.788        5.263        5.541     -530.118
   106   1349.000      219.371        -0.012         0.041         3.328        0.040        0.041        1.814     -530.529
   107   1349.000       12.230        68.965       -99.077         3.083        1.215        1.355        3.201     -530.529
   108   1349.000       12.042      -441.489      -612.548         3.079        1.393        1.621        2.260     -530.529
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
   109   1349.000        9.035      -349.606      -613.299         3.008        2.480        3.440        2.927     -530.529
   110   1349.000        8.635      -203.388      -566.606         3.008        3.711        3.380        3.008     -530.529
   111   1349.000        7.880       148.646      -312.701         3.035        2.905        2.708        2.887     -530.529
   112   1350.000      125.983         0.003         0.109         1.947        0.040        0.042        1.098     -530.939
   113   1351.000       57.167         0.015         0.164         0.930        0.042        0.044        0.547     -531.350
   114   1352.000       19.790         0.076         0.283         0.456        0.059        0.062        0.441     -531.761
   115   1358.000       13.553      -612.423       154.736         0.653        0.157        0.212        0.342     -534.227
   116   1359.000       17.618      -612.266       155.737         0.770        0.143        0.183        0.396     -534.638
   117   1360.000       20.891      -612.229       156.826         0.834        0.131        0.160        0.464     -535.049
   118   1361.000       20.073      -611.996       157.088         0.678        0.108        0.149        0.614     -535.460
