       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255S LINE2 .ICL001. 1   *****
 
     1   1273.000       11.293      -484.889       218.515        0.020        0.005        0.005        0.032     -456.920
     2   1274.000       12.630      -484.951       218.531        0.022        0.005        0.005        0.034     -457.298
     3   1275.000       13.814      -485.002       218.533        0.022        0.005        0.004        0.034     -457.675
     4   1276.000       14.706      -485.050       218.552        0.026        0.005        0.005        0.036     -458.053
     5   1277.000       15.368      -485.089       218.538        0.026        0.005        0.005        0.029     -458.431
     6   1278.000       15.827      -485.117       218.522        0.025        0.005        0.004        0.026     -458.808
     7   1279.000       15.982      -485.074       218.489        0.028        0.005        0.005        0.027     -459.186
     8   1280.000       15.518      -484.967       218.406        0.029        0.006        0.005        0.038     -459.564
     9   1281.000       14.714      -484.761       218.281        0.034        0.007        0.007        0.044     -459.941
    10   1282.000       13.525      -484.585       218.115        0.044        0.010        0.009        0.052     -460.319
    11   1283.000       12.485      -484.299       217.932        0.061        0.015        0.013        0.127     -460.697
    12   1284.000       12.274      -483.866       217.705        0.078        0.020        0.018        0.216     -461.074
    13   1285.000       13.106      -483.517       217.445        0.056        0.013        0.012        0.148     -461.452
    14   1286.000       14.193      -483.279       217.268        0.055        0.012        0.011        0.127     -461.830
    15   1287.000       15.020      -483.105       217.136        0.054        0.011        0.010        0.125     -462.207
    16   1288.000       15.141      -482.978       217.003        0.060        0.012        0.011        0.095     -462.585
    17   1289.000       14.783      -482.936       216.889        0.057        0.011        0.010        0.087     -462.962
    18   1290.000       13.294      -482.914       216.869        0.062        0.014        0.012        0.085     -463.340
    19   1291.000       10.886      -482.852       216.791        0.081        0.022        0.020        0.092     -463.718
    20   1295.000       10.643      -577.924       237.403        0.093        0.029        0.025        0.126     -465.228
    21   1296.000       17.325      -577.912       237.395        0.101        0.019        0.017        0.247     -465.606
    22   1297.000       24.418      -577.915       237.309        0.133        0.018        0.015        0.290     -465.984
    23   1298.000       29.875      -577.924       237.225        0.162        0.018        0.016        0.477     -466.361
    24   1299.000       32.465      -577.976       237.146        0.209        0.022        0.018        0.711     -466.739
    25   1300.000       30.852      -577.740       236.962        0.282        0.031        0.026        0.818     -467.117
    26   1301.000       26.624      -577.438       236.887        0.356        0.047        0.038        0.980     -467.494
    27   1302.000       20.784      -576.560       236.591        0.393        0.070        0.056        0.683     -467.872
    28   1302.000       10.336      -519.208       210.553        0.376        0.179        0.178        1.014     -467.872
    29   1303.000       19.177      -574.919       236.223        0.482        0.097        0.079        1.205     -468.250
    30   1303.000       14.108      -518.993       210.532        0.469        0.146        0.149        0.605     -468.250
    31   1303.000       13.346      -530.716       221.930        0.487        0.129        0.106        1.779     -468.250
    32   1304.000       26.701      -530.542       221.809        0.512        0.071        0.061        1.186     -468.627
    33   1304.000       16.414      -573.918       236.046        0.511        0.120        0.100        1.667     -468.627
    34   1304.000       11.398      -519.417       210.748        0.507        0.169        0.166        0.711     -468.627
    35   1304.000       10.249      -539.609       218.143        0.510        0.195        0.176        1.084     -468.627
    36   1304.000        6.128      -524.279       215.401        0.523        0.197        0.186        0.971     -468.627
    37   1305.000       42.187      -530.519       222.014        0.603        0.051        0.045        1.385     -469.005
    38   1305.000       14.845      -573.798       235.991        0.597        0.160        0.137        1.656     -469.005
    39   1305.000       12.105      -539.415       218.297        0.602        0.191        0.168        1.160     -469.005
    40   1305.000       11.440      -519.638       210.820        0.594        0.205        0.182        0.888     -469.005
    41   1305.000       10.327      -470.105       283.805        0.612        0.201        0.174        0.779     -469.005
    42   1305.000        8.773      -524.140       215.434        0.613        0.171        0.152        1.138     -469.005
    43   1306.000       53.687      -530.638       222.128        0.658        0.042        0.039        1.859     -469.383
    44   1306.000       14.301      -523.033       213.969        0.662        0.154        0.140        2.568     -469.383
    45   1306.000       13.008      -538.994       218.046        0.657        0.191        0.174        1.459     -469.383
    46   1306.000       12.462      -573.656       235.873        0.646        0.215        0.183        1.975     -469.383
    47   1306.000       10.763      -469.993       283.641        0.666        0.211        0.183        0.552     -469.383
    48   1306.000       10.257      -481.809       216.518        0.668        0.166        0.143        0.928     -469.383
    49   1307.000       64.910      -530.679       222.218        0.709        0.038        0.036        1.966     -469.760
    50   1307.000       17.616      -524.165       214.724        0.722        0.118        0.105        1.828     -469.760
    51   1307.000       15.626      -538.577       217.726        0.715        0.168        0.154        1.616     -469.760
    52   1307.000       13.636      -469.264       283.184        0.720        0.177        0.157        0.628     -469.760
    53   1307.000       12.184      -481.728       216.631        0.722        0.152        0.127        1.023     -469.760
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
    54   1307.000        9.630      -574.511       236.661        0.680        0.372        0.321        2.016     -469.760
    55   1308.000       66.534      -530.806       222.189        0.791        0.042        0.040        2.323     -470.138
    56   1308.000       18.705      -523.780       214.148        0.811        0.139        0.122        2.246     -470.138
    57   1308.000       18.703      -538.464       217.678        0.810        0.151        0.141        1.948     -470.138
    58   1308.000       10.565      -468.889       283.114        0.811        0.249        0.224        0.716     -470.138
    59   1309.000       63.642      -530.892       222.202        0.711        0.039        0.037        2.267     -470.516
    60   1309.000       18.344      -523.814       213.965        0.724        0.134        0.111        2.127     -470.516
    61   1309.000       17.333      -538.387       217.589        0.723        0.152        0.141        2.029     -470.516
    62   1309.000       12.311      -563.998       238.465        0.692        0.266        0.220        1.452     -470.516
    63   1310.000       60.721      -531.253       222.271        0.579        0.034        0.031        2.030     -470.893
    64   1310.000       16.292      -524.138       214.073        0.594        0.118        0.098        1.778     -470.893
    65   1310.000       14.120      -538.140       217.572        0.594        0.143        0.139        2.067     -470.893
    66   1310.000       14.016      -563.403       237.968        0.567        0.185        0.151        1.409     -470.893
    67   1311.000       57.726      -531.717       222.520        0.577        0.038        0.033        2.372     -471.271
    68   1311.000       13.661      -524.496       213.846        0.591        0.156        0.115        1.557     -471.271
    69   1311.000       13.564      -545.594       226.003        0.563        0.210        0.154        1.643     -471.271
    70   1311.000       10.726      -563.724       238.948        0.571        0.231        0.205        1.106     -471.271
    71   1312.000       51.900      -532.459       222.831        0.431        0.034        0.026        2.268     -471.649
    72   1312.000       15.478      -545.936       225.848        0.423        0.133        0.093        1.164     -471.649
    73   1313.000       47.663      -533.535       223.184        0.319        0.030        0.021        1.366     -472.026
    74   1313.000       15.257      -544.880       225.461        0.323        0.076        0.073        1.112     -472.026
    75   1314.000       48.791      -534.340       223.229        0.272        0.025        0.018        1.119     -472.404
    76   1314.000       12.649      -544.698       224.965        0.282        0.068        0.078        0.861     -472.404
    77   1315.000       53.900      -533.913       222.702        0.216        0.017        0.014        1.670     -472.782
    78   1316.000       63.111      -532.925       221.800        0.193        0.013        0.011        1.067     -473.159
    79   1317.000       78.685      -532.233       221.145        0.221        0.012        0.010        0.811     -473.537
    80   1318.000       90.050      -531.883       220.846        0.303        0.013        0.011        0.881     -473.914
    81   1319.000       90.235      -531.588       220.675        0.421        0.018        0.015        1.404     -474.292
    82   1319.000        9.094      -512.172       216.961        0.409        0.203        0.169        1.263     -474.292
    83   1320.000       82.819      -531.382       220.567        0.457        0.021        0.018        1.870     -474.670
    84   1320.000       16.477      -511.393       217.622        0.453        0.102        0.091        1.650     -474.670
    85   1321.000       63.647      -531.035       220.474        0.494        0.029        0.025        1.005     -475.047
    86   1321.000       21.949      -511.062       217.745        0.498        0.077        0.071        1.570     -475.047
    87   1321.000       10.111      -529.798       228.733        0.507        0.184        0.128        0.946     -475.047
    88   1322.000       40.243      -530.702       220.488        0.555        0.054        0.046        1.112     -475.425
    89   1322.000       28.607      -511.141       217.873        0.568        0.065        0.060        1.513     -475.425
    90   1322.000       10.719      -529.422       228.626        0.572        0.214        0.136        1.064     -475.425
    91   1323.000       34.882      -511.482       217.735        0.624        0.061        0.056        2.160     -475.803
    92   1323.000       22.059      -529.318       219.802        0.616        0.106        0.092        1.999     -475.803
    93   1323.000       10.897      -492.756       211.783        0.588        0.322        0.294        1.250     -475.803
    94   1323.000        6.459      -485.013       206.133        0.624        0.380        0.295        1.217     -475.803
    95   1324.000       30.154      -511.616       217.774        0.624        0.074        0.067        2.779     -476.180
    96   1324.000       14.857      -494.039       213.476        0.601        0.217        0.135        1.557     -476.180
    97   1324.000       14.850      -486.462       206.022        0.620        0.171        0.123        1.604     -476.180
    98   1325.000       21.803      -511.088       217.796        0.639        0.113        0.099        2.411     -476.558
    99   1325.000       18.104      -491.068       213.784        0.635        0.160        0.109        0.761     -476.558
   100   1325.000       15.877      -485.674       206.736        0.625        0.181        0.151        1.635     -476.558
   101   1325.000       10.934      -500.014       218.550        0.657        0.197        0.179        1.693     -476.558
   102   1326.000       42.924      -489.658       214.119        0.756        0.073        0.055        1.792     -476.936
   103   1326.000       17.457      -500.755       219.186        0.752        0.149        0.171        1.396     -476.936
   104   1326.000       16.718      -511.691       217.751        0.774        0.151        0.149        1.307     -476.936
   105   1326.000       12.634      -375.820       250.428        0.742        0.280        0.227        0.847     -476.936
   106   1326.000       12.446      -614.211       176.686        0.727        0.320        0.258        2.151     -476.936
   107   1327.000       70.939      -489.000       214.263        0.907        0.047        0.039        2.195     -477.313
   108   1327.000       14.742      -613.029       177.335        0.870        0.317        0.223        1.946     -477.313
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109   1327.000       12.544      -378.085       252.737        0.864        0.414        0.357        0.874     -477.313
   110   1327.000       12.227      -500.158       219.652        0.882        0.269        0.308        1.867     -477.313
   111   1327.000       12.121      -614.116       207.551        0.881        0.350        0.312        0.919     -477.313
   112   1328.000       89.389      -488.772       214.407        1.059        0.044        0.038        2.616     -477.691
   113   1328.000       15.096      -496.924       221.096        1.046        0.294        0.243        1.950     -477.691
   114   1328.000       13.641      -380.329       255.730        1.011        0.418        0.383        1.062     -477.691
   115   1328.000       11.674      -612.367       177.457        1.018        0.486        0.309        2.236     -477.691
   116   1329.000      109.677      -488.618       214.393        1.201        0.038        0.035        2.051     -478.069
   117   1329.000       17.919      -381.900       257.626        1.168        0.286        0.255        1.112     -478.069
   118   1329.000       15.321      -494.828       222.104        1.194        0.325        0.235        1.896     -478.069
