       magilla    MFPRT(31DEC13)     745               12-NOV-2015   14:11:08               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255S LINE2 .ICL001. 2   *****
 
     1      1.000        0.062       563.231      -613.865        0.018        0.775        0.776        0.017     -385.265
     2      1.000        0.044       562.155      -602.290        0.018        1.093        1.095        0.018     -385.265
     3      1.000        0.034       495.218      -607.584        0.018        1.403        1.406        0.018     -385.265
     4      1.000        0.028       502.437      -609.829        0.017        1.870        1.874        0.014     -385.265
     5      2.000        0.065       603.207      -610.726        0.018        0.750        0.752        0.019     -385.618
     6      2.000        0.037       562.285      -612.670        0.018        1.321        1.324        0.018     -385.618
     7      3.000        0.115      -609.242       150.285        0.017        0.447        0.448        0.026     -385.970
     8      3.000        0.087       297.002      -606.387        0.017        0.541        0.543        0.018     -385.970
     9      3.000        0.019      -602.772       147.645        0.017        2.533        2.539        0.025     -385.970
    10      4.000        0.109       608.933       608.364        0.018        0.452        0.453        0.019     -386.323
    11      4.000        0.083       610.707       -71.699        0.018        0.596        0.597        0.027     -386.323
    12      4.000        0.068      -234.825      -612.307        0.018        0.725        0.726        0.019     -386.323
    13      5.000        0.094       488.706       612.799        0.018        0.526        0.527        0.019     -386.676
    14      5.000        0.079       485.153      -611.659        0.018        0.622        0.624        0.018     -386.676
    15      5.000        0.067      -226.090      -111.766        0.018        0.740        0.742        0.020     -386.676
    16      6.000        0.086       354.846      -527.984        0.017        0.541        0.542        0.020     -387.028
    17      7.000        0.085      -118.092       229.631        0.017        0.559        0.560        0.018     -387.381
    18      8.000        0.092       406.957      -604.645        0.018        0.589        0.590        0.021     -387.734
    19      8.000        0.066       405.685      -612.728        0.018        0.746        0.748        0.026     -387.734
    20      8.000        0.046       401.343      -599.454        0.018        1.071        1.074        0.020     -387.734
    21      9.000        0.087       151.720       488.114        0.018        0.579        0.580        0.022     -388.086
    22      9.000        0.076      -358.675       332.455        0.018        0.662        0.663        0.019     -388.086
    23      9.000        0.056       470.161      -612.433        0.018        0.900        0.902        0.013     -388.086
    24      9.000        0.042       467.892      -603.734        0.018        1.310        1.313        0.020     -388.086
    25     10.000        0.072       258.199      -356.161        0.017        0.660        0.662        0.020     -388.439
    26     14.000        0.089       242.937      -614.005        0.017        0.527        0.528        0.022     -389.850
    27     14.000        0.075       -56.801       134.916        0.017        0.626        0.628        0.018     -389.850
    28     15.000        0.037       450.861      -605.036        0.017        1.297        1.300        0.019     -390.202
    29     15.000        0.022       456.704      -609.286        0.017        2.203        2.208        0.019     -390.202
    30     16.000        0.076      -604.470      -245.515        0.017        0.619        0.620        0.019     -390.555
    31     16.000        0.037      -417.205      -613.482        0.017        1.260        1.263        0.014     -390.555
    32     17.000        0.083       613.288      -551.387        0.017        0.564        0.566        0.018     -390.908
    33     17.000        0.047       391.724      -611.126        0.017        0.996        0.998        0.013     -390.908
    34     18.000        0.029      -344.255      -603.636        0.018        1.637        1.641        0.024     -391.260
    35     19.000        0.060      -539.825      -605.458        0.017        0.762        0.764        0.017     -391.613
    36     19.000        0.040      -533.067      -608.793        0.017        1.146        1.148        0.030     -391.613
    37     20.000        0.066       369.614      -612.746        0.017        0.695        0.696        0.018     -391.966
    38     20.000        0.053       370.082      -602.103        0.017        0.941        0.943        0.020     -391.966
    39     20.000        0.038       376.847      -608.021        0.017        1.211        1.214        0.014     -391.966
    40     21.000        0.063       -70.993      -613.476        0.017        0.731        0.733        0.021     -392.318
    41     22.000        0.076      -511.822       318.545        0.016        0.595        0.596        0.017     -392.671
    42     23.000        0.095      -606.708      -599.985        0.017        0.506        0.507        0.021     -393.024
    43     23.000        0.051       317.955      -612.995        0.017        0.932        0.934        0.026     -393.024
    44     24.000        0.087      -531.527      -611.415        0.018        0.557        0.558        0.020     -393.376
    45     24.000        0.036      -535.012      -602.181        0.017        1.470        1.474        0.022     -393.376
    46     24.000        0.032       427.587      -607.785        0.018        1.509        1.513        0.017     -393.376
    47     26.000        0.100      -189.231      -613.541        0.017        0.474        0.475        0.019     -394.082
    48     26.000        0.043      -191.600      -603.994        0.017        1.188        1.191        0.018     -394.082
    49     27.000        0.118      -443.436       612.954        0.017        0.402        0.403        0.018     -394.434
    50     27.000        0.069      -441.140       604.368        0.017        0.682        0.684        0.019     -394.434
    51     27.000        0.053       463.278      -607.574        0.017        0.895        0.897        0.019     -394.434
    52     28.000        0.069        55.512      -613.749        0.017        0.671        0.672        0.018     -394.787
    53     30.000        0.091        -2.670       297.509        0.018        0.540        0.542        0.017     -395.492
       magilla    MFPRT(31DEC13)     745               12-NOV-2015   14:11:08               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
    54     32.000        0.073       423.205      -612.313        0.017        0.626        0.628        0.019     -396.198
    55     32.000        0.039       -83.320      -606.062        0.017        1.170        1.173        0.014     -396.198
    56     33.000        0.103       612.575       444.691        0.017        0.455        0.456        0.027     -396.550
    57     33.000        0.100      -261.716      -463.267        0.017        0.471        0.472        0.021     -396.550
    58     33.000        0.088        54.225       607.308        0.017        0.535        0.536        0.023     -396.550
    59     33.000        0.081       139.471      -612.198        0.017        0.579        0.580        0.019     -396.550
    60     34.000        0.126       612.454       609.951        0.018        0.382        0.383        0.018     -396.903
    61     34.000        0.061        54.575      -611.610        0.018        0.798        0.800        0.019     -396.903
    62     35.000        0.053       -94.320      -614.087        0.016        0.854        0.856        0.020     -397.256
    63     35.000        0.047       580.230      -610.620        0.016        0.951        0.953        0.022     -397.256
    64     37.000        0.072      -613.239      -555.636        0.018        0.691        0.693        0.023     -397.961
    65     38.000        0.112      -539.430      -613.996        0.017        0.414        0.415        0.016     -398.314
    66     39.000        0.080      -610.221       236.458        0.018        0.686        0.687        0.022     -398.666
    67     39.000        0.047      -602.570       240.503        0.018        1.072        1.075        0.021     -398.666
    68     40.000        0.088       610.931      -563.309        0.017        0.541        0.542        0.026     -399.019
    69     40.000        0.080        21.526      -306.714        0.017        0.601        0.602        0.018     -399.019
    70     40.000        0.068      -607.324       563.603        0.017        0.707        0.708        0.022     -399.019
    71     40.000        0.043       331.305      -601.922        0.017        1.120        1.123        0.022     -399.019
    72     40.000        0.042       330.887      -613.993        0.017        1.151        1.153        0.021     -399.019
    73     42.000        0.106      -613.303       612.968        0.017        0.451        0.452        0.016     -399.724
    74     42.000        0.080       611.813      -523.000        0.017        0.598        0.600        0.021     -399.724
    75     42.000        0.041       487.277      -602.415        0.017        1.149        1.151        0.024     -399.724
    76     42.000        0.018      -607.392       605.781        0.017        2.885        2.892        0.019     -399.724
    77     43.000        0.056       549.248      -607.727        0.017        0.821        0.823        0.022     -400.077
    78     43.000        0.041       541.491      -605.726        0.017        1.132        1.135        0.020     -400.077
    79     45.000        0.066       188.266       612.214        0.017        0.727        0.728        0.020     -400.782
    80     45.000        0.064      -239.050      -111.648        0.017        0.750        0.752        0.022     -400.782
    81     46.000        0.120      -118.496      -614.154        0.018        0.408        0.408        0.020     -401.135
    82     46.000        0.071       -97.302      -562.526        0.018        0.688        0.689        0.022     -401.135
    83     46.000        0.068      -581.267        43.013        0.018        0.717        0.719        0.021     -401.135
    84     46.000        0.035       581.241      -606.868        0.018        1.420        1.423        0.024     -401.135
    85     46.000        0.032       575.577      -602.026        0.018        1.521        1.525        0.024     -401.135
    86     48.000        0.099       608.308      -607.822        0.019        0.520        0.521        0.021     -401.841
    87     48.000        0.098      -609.149       363.096        0.019        0.523        0.524        0.018     -401.841
    88     48.000        0.036      -602.440       358.136        0.018        1.549        1.553        0.017     -401.841
    89     49.000        0.052       561.728      -602.087        0.018        0.940        0.943        0.018     -402.193
    90     49.000        0.030       563.870      -611.819        0.018        1.625        1.629        0.023     -402.193
    91     50.000        0.066       176.659      -613.562        0.017        0.705        0.706        0.018     -402.546
    92     50.000        0.040      -523.855      -614.350        0.017        1.152        1.155        0.016     -402.546
    93     51.000        0.057       610.394      -613.121        0.016        0.765        0.766        0.010     -402.899
    94     51.000        0.046       603.707      -607.156        0.016        0.950        0.952        0.016     -402.899
    95     52.000        0.077        61.913      -531.734        0.018        0.648        0.650        0.019     -403.251
    96     53.000        0.068       180.612      -613.805        0.016        0.660        0.661        0.020     -403.604
    97     53.000        0.039       178.190      -605.542        0.016        1.147        1.149        0.019     -403.604
    98     55.000        0.085      -122.643       605.733        0.018        0.574        0.575        0.024     -404.309
    99     56.000        0.075       -23.227      -463.864        0.016        0.606        0.607        0.017     -404.662
   100     58.000        0.083       610.906       282.983        0.018        0.580        0.581        0.016     -405.367
   101     58.000        0.078      -388.790      -139.127        0.018        0.616        0.617        0.019     -405.367
   102     58.000        0.068      -467.184       538.146        0.018        0.711        0.713        0.028     -405.367
   103     58.000        0.038       604.202       287.294        0.017        1.404        1.407        0.015     -405.367
   104     58.000        0.035       480.884      -613.402        0.018        1.385        1.388        0.022     -405.367
   105     59.000        0.087       427.945       613.265        0.018        0.585        0.587        0.021     -405.720
   106     59.000        0.057       525.915      -601.295        0.018        0.888        0.890        0.022     -405.720
   107     59.000        0.057       523.806      -611.059        0.018        0.890        0.892        0.019     -405.720
   108     59.000        0.055       530.125      -613.682        0.018        0.922        0.924        0.023     -405.720
       magilla    MFPRT(31DEC13)     745               12-NOV-2015   14:11:08               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109     59.000        0.045       432.595       603.563        0.018        1.233        1.236        0.025     -405.720
   110     59.000        0.027       330.499      -607.954        0.018        1.900        1.904        0.018     -405.720
   111     60.000        0.062       262.701      -610.132        0.017        0.741        0.743        0.031     -406.073
   112     61.000        0.039       440.804      -612.725        0.017        1.176        1.179        0.018     -406.425
   113     62.000        0.074       -83.487       206.514        0.018        0.669        0.671        0.025     -406.778
   114     63.000        0.085      -607.651       524.663        0.018        0.630        0.631        0.019     -407.131
   115     63.000        0.058      -601.541       518.266        0.018        0.850        0.851        0.020     -407.131
   116     64.000        0.086       364.654      -612.905        0.017        0.552        0.553        0.016     -407.483
   117     64.000        0.032       -22.916      -605.167        0.017        1.468        1.471        0.017     -407.483
   118     64.000        0.014       -15.528      -607.584        0.017        3.567        3.575        0.020     -407.483
   119     65.000        0.101       613.517       612.865        0.018        0.495        0.496        0.017     -407.836
   120     65.000        0.091      -608.932       360.981        0.018        0.555        0.556        0.021     -407.836
   121     65.000        0.087      -608.441       501.316        0.018        0.579        0.580        0.016     -407.836
