       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255T LINE2 .ICL001. 1   *****
 
     1   1273.000       10.966      -484.805       218.551        0.037        0.010        0.008        0.055     -456.920
     2   1274.000       12.143      -484.825       218.556        0.043        0.011        0.008        0.052     -457.298
     3   1275.000       12.980      -484.850       218.553        0.048        0.011        0.009        0.048     -457.675
     4   1276.000       13.878      -484.881       218.527        0.039        0.008        0.007        0.046     -458.053
     5   1277.000       14.886      -484.895       218.515        0.043        0.008        0.007        0.050     -458.431
     6   1278.000       15.436      -484.894       218.500        0.041        0.008        0.006        0.045     -458.808
     7   1279.000       15.580      -484.866       218.458        0.046        0.009        0.007        0.050     -459.186
     8   1280.000       15.543      -484.763       218.410        0.047        0.009        0.007        0.068     -459.564
     9   1281.000       14.913      -484.570       218.346        0.056        0.011        0.009        0.074     -459.941
    10   1282.000       14.036      -484.407       218.248        0.066        0.014        0.011        0.065     -460.319
    11   1283.000       12.959      -484.164       218.135        0.064        0.015        0.012        0.067     -460.697
    12   1284.000       12.467      -483.902       217.992        0.076        0.018        0.014        0.077     -461.074
    13   1285.000       12.266      -483.627       217.829        0.073        0.018        0.014        0.095     -461.452
    14   1286.000       12.545      -483.401       217.631        0.076        0.018        0.014        0.128     -461.830
    15   1287.000       13.474      -483.152       217.403        0.077        0.017        0.013        0.112     -462.207
    16   1288.000       14.045      -482.972       217.296        0.101        0.021        0.017        0.117     -462.585
    17   1289.000       14.162      -482.915       217.160        0.094        0.020        0.016        0.118     -462.962
    18   1290.000       12.661      -482.856       217.109        0.085        0.020        0.016        0.119     -463.340
    19   1291.000       10.044      -482.814       217.075        0.088        0.026        0.021        0.086     -463.718
    20   1295.000       10.899      -578.199       237.207        0.107        0.034        0.024        0.143     -465.228
    21   1296.000       17.387      -578.036       237.164        0.131        0.026        0.018        0.181     -465.606
    22   1297.000       24.255      -577.990       237.027        0.157        0.022        0.016        0.276     -465.984
    23   1298.000       30.230      -578.046       236.863        0.224        0.026        0.018        0.389     -466.361
    24   1299.000       33.765      -578.074       236.640        0.274        0.029        0.019        0.416     -466.739
    25   1300.000       34.341      -577.915       236.408        0.313        0.034        0.022        0.533     -467.117
    26   1301.000       29.979      -577.583       236.032        0.366        0.052        0.030        0.639     -467.494
    27   1301.000       11.203      -490.939       133.112        0.367        0.130        0.084        0.211     -467.494
    28   1302.000       25.767      -576.436       235.651        0.436        0.088        0.042        0.742     -467.872
    29   1302.000       14.052      -491.032       133.016        0.444        0.126        0.082        0.459     -467.872
    30   1302.000       11.773      -530.047       224.499        0.429        0.202        0.110        1.808     -467.872
    31   1303.000       23.524      -530.690       223.723        0.617        0.106        0.075        2.262     -468.250
    32   1303.000       20.522      -574.427       235.127        0.623        0.133        0.069        0.849     -468.250
    33   1303.000       13.601      -491.045       132.549        0.625        0.180        0.115        0.621     -468.250
    34   1304.000       42.962      -530.660       223.473        0.582        0.048        0.035        2.439     -468.627
    35   1304.000       25.889      -572.900       234.930        0.588        0.080        0.053        0.669     -468.627
    36   1304.000       11.547      -584.884       234.718        0.592        0.174        0.114        0.466     -468.627
    37   1305.000       64.816      -530.646       223.261        0.589        0.030        0.023        2.066     -469.005
    38   1305.000       28.746      -572.426       234.769        0.592        0.066        0.049        0.547     -469.005
    39   1305.000       12.451      -482.317       216.343        0.592        0.136        0.104        0.621     -469.005
    40   1305.000       11.003      -584.892       234.627        0.592        0.179        0.124        0.458     -469.005
    41   1306.000       86.498      -530.813       223.236        0.654        0.024        0.019        2.417     -469.383
    42   1306.000       32.819      -572.195       234.521        0.653        0.064        0.050        0.766     -469.383
    43   1306.000       13.441      -482.246       216.466        0.655        0.135        0.106        0.587     -469.383
    44   1307.000       97.978      -530.730       223.145        0.695        0.022        0.017        1.966     -469.760
    45   1307.000       33.166      -571.779       234.120        0.691        0.068        0.053        0.792     -469.760
    46   1307.000       16.746      -482.374       216.307        0.695        0.110        0.086        0.538     -469.760
    47   1308.000      105.316      -530.787       223.146        0.624        0.019        0.014        1.904     -470.138
    48   1308.000       31.571      -571.365       233.736        0.620        0.065        0.050        0.593     -470.138
    49   1308.000       17.748      -482.301       216.321        0.624        0.100        0.080        0.821     -470.138
    50   1308.000       10.040      -550.015       229.224        0.587        0.292        0.192        1.072     -470.138
    51   1309.000      101.694      -530.987       223.177        0.605        0.019        0.015        1.697     -470.516
    52   1309.000       28.711      -570.705       233.323        0.593        0.074        0.057        0.861     -470.516
    53   1309.000       15.909      -482.290       216.306        0.605        0.102        0.082        0.589     -470.516
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
    54   1309.000        9.654      -546.679       228.054        0.562        0.362        0.188        0.788     -470.516
    55   1310.000       95.910      -531.035       223.107        0.607        0.020        0.015        1.269     -470.893
    56   1310.000       23.804      -570.605       233.303        0.596        0.089        0.069        0.664     -470.893
    57   1310.000       12.530      -547.840       228.010        0.564        0.290        0.147        0.606     -470.893
    58   1310.000       12.246      -482.370       216.098        0.607        0.140        0.105        0.577     -470.893
    59   1311.000       82.537      -531.283       223.184        0.523        0.021        0.016        1.315     -471.271
    60   1311.000       14.829      -569.287       232.627        0.506        0.144        0.101        0.756     -471.271
    61   1311.000       11.771      -546.629       227.820        0.489        0.272        0.120        0.729     -471.271
    62   1312.000       70.620      -531.625       223.202        0.368        0.018        0.013        2.778     -471.649
    63   1312.000       12.106      -546.737       227.572        0.339        0.329        0.095        0.637     -471.649
    64   1313.000       58.128      -532.251       223.236        0.391        0.027        0.017        1.446     -472.026
    65   1313.000       12.474      -545.382       226.887        0.375        0.184        0.085        0.420     -472.026
    66   1314.000       54.490      -533.123       223.177        0.332        0.027        0.017        0.946     -472.404
    67   1314.000       11.122      -545.438       226.613        0.331        0.128        0.083        0.416     -472.404
    68   1315.000       55.125      -533.303       222.717        0.309        0.025        0.016        0.923     -472.782
    69   1316.000       62.478      -532.620       221.872        0.356        0.025        0.018        1.105     -473.159
    70   1317.000       75.508      -532.016       221.159        0.386        0.022        0.016        1.426     -473.537
    71   1318.000       89.443      -531.603       220.722        0.509        0.023        0.017        1.524     -473.914
    72   1319.000       95.363      -531.493       220.577        0.642        0.027        0.019        1.457     -474.292
    73   1319.000       18.835      -510.309       218.026        0.660        0.110        0.083        0.285     -474.292
    74   1320.000       88.436      -531.384       220.477        0.729        0.032        0.023        1.163     -474.670
    75   1320.000       29.922      -510.385       217.936        0.746        0.080        0.061        0.498     -474.670
    76   1321.000       73.087      -531.229       220.360        0.822        0.043        0.031        1.021     -475.047
    77   1321.000       38.324      -510.614       217.832        0.836        0.073        0.054        0.590     -475.047
    78   1321.000       10.577      -493.040       214.546        0.806        0.347        0.203        0.565     -475.047
    79   1322.000       53.319      -531.183       220.320        0.772        0.055        0.040        0.673     -475.425
    80   1322.000       46.458      -510.796       217.677        0.782        0.058        0.042        0.521     -475.425
    81   1322.000       16.600      -492.939       214.348        0.751        0.232        0.119        0.790     -475.425
    82   1323.000       48.136      -510.888       217.503        0.880        0.064        0.046        0.526     -475.803
    83   1323.000       31.568      -530.946       220.229        0.871        0.104        0.075        0.523     -475.803
    84   1323.000       26.447      -492.884       214.102        0.857        0.145        0.083        0.853     -475.803
    85   1324.000       44.463      -510.924       217.387        0.834        0.067        0.048        0.673     -476.180
    86   1324.000       36.697      -492.537       213.945        0.812        0.105        0.056        0.962     -476.180
    87   1324.000       16.095      -530.569       220.113        0.828        0.195        0.141        0.529     -476.180
    88   1325.000       50.210      -491.287       214.002        0.803        0.083        0.040        0.947     -476.558
    89   1325.000       34.789      -510.885       217.278        0.822        0.091        0.065        0.777     -476.558
    90   1326.000       68.033      -490.415       214.119        0.716        0.051        0.027        1.556     -476.936
    91   1326.000       20.744      -510.508       217.159        0.721        0.148        0.106        0.859     -476.936
    92   1327.000       93.083      -489.637       214.174        0.835        0.037        0.022        2.141     -477.313
    93   1327.000       11.329      -500.311       216.604        0.823        0.252        0.263        2.226     -477.313
    94   1328.000      119.815      -489.089       214.221        1.314        0.039        0.027        2.724     -477.691
    95   1328.000       12.846      -498.531       217.215        1.336        0.271        0.301        2.506     -477.691
    96   1328.000       10.929      -585.162       319.512        1.256        0.608        0.405        2.449     -477.691
    97   1328.000       10.421      -398.853       111.179        1.249        0.562        0.489        1.856     -477.691
    98   1328.000        9.883      -606.052       150.378        1.236        0.827        0.403        1.431     -477.691
    99   1328.000        9.785      -595.838       144.813        1.336        0.505        0.287        1.270     -477.691
   100   1329.000      136.374      -488.803       214.059        1.543        0.037        0.028        2.724     -478.069
   101   1329.000       15.451      -397.416       108.656        1.426        0.486        0.521        1.809     -478.069
   102   1329.000       10.449      -585.287       318.303        1.473        0.754        0.557        1.392     -478.069
   103   1329.000        9.880      -410.930       110.675        1.470        0.580        0.569        1.831     -478.069
   104   1330.000      142.495      -488.642       213.940        1.875        0.042        0.033        3.152     -478.446
   105   1330.000       20.237      -395.332       106.907        1.742        0.429        0.441        2.010     -478.446
   106   1330.000       12.167      -314.635       179.446        1.834        0.614        0.372        1.176     -478.446
   107   1330.000       10.622      -298.566       264.738        1.810        0.887        0.382        1.900     -478.446
   108   1330.000       10.139      -409.869       109.842        1.752        0.828        0.781        1.855     -478.446
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109   1330.000        9.383      -452.256       171.837        1.735        1.097        0.799        2.150     -478.446
   110   1330.000        8.767      -600.125       176.971        1.791        1.060        0.681        2.829     -478.446
   111   1330.000        8.630      -449.393      -122.167        1.743        1.218        0.724        1.606     -478.446
   112   1330.000        7.779      -559.784       134.809        1.728        1.252        1.119        2.515     -478.446
   113   1331.000      128.594      -488.479       213.985        1.749        0.044        0.034        2.685     -478.824
   114   1331.000       18.460      -396.134       109.021        1.661        0.353        0.398        2.015     -478.824
   115   1331.000       14.613      -600.945       178.065        1.661        0.572        0.366        2.071     -478.824
   116   1331.000       13.778      -313.928       178.846        1.758        0.386        0.283        1.172     -478.824
   117   1331.000       10.694       611.970       209.809        1.758        0.665        0.307        1.502     -478.824
   118   1331.000       10.562      -529.657       313.578        1.668        0.715        0.528        1.970     -478.824
