       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255T LINE2 .ICL001. 1   *****
 
     1      1.000        0.102       612.008      -612.081        0.014        0.485        0.361        0.013     -436.621
     2      2.000        0.059      -596.765      -612.556        0.013        0.767        0.572        0.013     -437.036
     3      2.000        0.039      -589.328      -605.870        0.013        1.165        0.868        0.015     -437.036
     4      3.000        0.031      -206.475      -609.151        0.013        1.409        1.049        0.017     -437.452
     5      5.000        0.057       102.744      -605.187        0.013        0.752        0.560        0.016     -438.282
     6      7.000        0.023       367.925      -602.471        0.013        1.941        1.446        0.014     -439.113
     7      9.000        0.045       299.164      -614.094        0.012        0.951        0.708        0.015     -439.944
     8      9.000        0.041       294.813      -607.028        0.012        1.050        0.782        0.010     -439.944
     9      9.000        0.035      -613.062      -509.902        0.012        1.204        0.896        0.011     -439.944
    10      9.000        0.033      -486.251      -494.076        0.012        1.281        0.954        0.016     -439.944
    11      9.000        0.031       437.706      -555.861        0.012        1.381        1.029        0.016     -439.944
    12      9.000        0.028       163.871      -558.205        0.012        1.517        1.129        0.013     -439.944
    13     10.000        0.046       406.570      -352.411        0.012        0.863        0.643        0.013     -440.360
    14     10.000        0.039      -492.985      -485.649        0.012        1.032        0.769        0.014     -440.360
    15     12.000        0.030       -45.916      -574.561        0.014        1.542        1.149        0.016     -441.191
    16     12.000        0.029       246.208      -602.479        0.014        1.605        1.195        0.015     -441.191
    17     13.000        0.029      -385.669      -507.431        0.012        1.466        1.092        0.016     -441.606
    18     13.000        0.024       -39.793      -535.392        0.012        1.753        1.305        0.014     -441.606
    19     14.000        0.036      -612.220      -537.016        0.012        1.157        0.862        0.015     -442.022
    20     14.000        0.028       530.675      -578.413        0.012        1.492        1.111        0.016     -442.022
    21     15.000        0.039      -518.673      -574.185        0.013        1.179        0.878        0.012     -442.437
    22     15.000        0.032       -78.348      -610.712        0.013        1.463        1.090        0.016     -442.437
    23     15.000        0.026      -404.567      -611.710        0.013        1.787        1.331        0.019     -442.437
    24     16.000        0.033       -37.153      -575.782        0.013        1.346        1.003        0.017     -442.852
    25     17.000        0.092       605.429      -612.137        0.013        0.489        0.364        0.013     -443.268
    26     17.000        0.035      -528.724      -612.422        0.013        1.281        0.954        0.016     -443.268
    27     18.000        0.038      -327.277      -610.460        0.012        1.063        0.792        0.018     -443.683
    28     18.000        0.029       316.403      -317.444        0.012        1.379        1.027        0.015     -443.683
    29     19.000        0.028      -414.056      -528.576        0.013        1.522        1.134        0.016     -444.099
    30     20.000        0.047       522.100      -572.606        0.013        0.934        0.695        0.014     -444.514
    31     20.000        0.037      -555.141      -613.238        0.013        1.180        0.879        0.015     -444.514
    32     20.000        0.035       491.079      -612.360        0.013        1.242        0.925        0.015     -444.514
    33     20.000        0.034      -608.020      -569.065        0.013        1.267        0.944        0.015     -444.514
    34     22.000        0.035      -130.445      -545.134        0.013        1.268        0.944        0.016     -445.345
    35     24.000        0.050       583.477      -612.181        0.013        0.896        0.667        0.015     -446.176
    36     24.000        0.041      -432.420      -536.768        0.013        1.109        0.826        0.015     -446.176
    37     24.000        0.028      -405.726      -596.888        0.013        1.615        1.202        0.015     -446.176
    38     25.000        0.059        -2.096      -611.566        0.013        0.735        0.548        0.012     -446.591
    39     25.000        0.037      -477.208      -540.408        0.013        1.176        0.875        0.017     -446.591
    40     25.000        0.033       210.956      -494.386        0.013        1.331        0.991        0.014     -446.591
    41     26.000        0.025       167.961      -608.867        0.013        1.768        1.317        0.014     -447.007
    42     27.000        0.048       -38.253      -516.714        0.013        0.920        0.685        0.016     -447.422
    43     27.000        0.029       112.493      -553.137        0.013        1.522        1.133        0.015     -447.422
    44     27.000        0.027      -605.171      -384.574        0.013        1.635        1.218        0.019     -447.422
    45     28.000        0.038       519.404      -606.302        0.012        1.122        0.835        0.014     -447.838
    46     28.000        0.037      -612.380      -332.585        0.012        1.155        0.860        0.017     -447.838
    47     28.000        0.026       574.214      -453.206        0.012        1.607        1.197        0.016     -447.838
    48     29.000        0.036      -566.769      -571.375        0.013        1.204        0.897        0.017     -448.253
    49     29.000        0.030      -572.843      -579.069        0.013        1.471        1.095        0.014     -448.253
    50     30.000        0.049      -575.543      -513.776        0.013        0.901        0.671        0.016     -448.669
    51     30.000        0.035      -252.439      -599.969        0.013        1.255        0.935        0.016     -448.669
    52     30.000        0.031        55.271      -610.752        0.013        1.409        1.049        0.012     -448.669
    53     30.000        0.028      -434.762      -534.787        0.013        1.562        1.163        0.016     -448.669
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
    54     31.000        0.075       441.019      -181.479        0.013        0.593        0.441        0.016     -449.084
    55     31.000        0.041      -588.876      -613.045        0.013        1.089        0.811        0.016     -449.084
    56     31.000        0.026       575.051      -455.981        0.013        1.689        1.258        0.015     -449.084
    57     32.000        0.082       407.489      -613.011        0.013        0.540        0.402        0.016     -449.500
    58     32.000        0.040       530.911      -613.567        0.013        1.095        0.815        0.017     -449.500
    59     32.000        0.037      -520.093      -572.621        0.013        1.196        0.891        0.017     -449.500
    60     33.000        0.038       305.656      -595.971        0.013        1.152        0.858        0.015     -449.915
    61     33.000        0.034       325.548      -612.720        0.013        1.269        0.945        0.015     -449.915
    62     33.000        0.030       293.674      -598.421        0.013        1.461        1.088        0.012     -449.915
    63     34.000        0.056      -590.439      -612.673        0.014        0.828        0.616        0.016     -450.330
    64     35.000        0.029       515.173      -607.849        0.013        1.496        1.114        0.014     -450.746
    65     36.000        0.075      -254.195      -612.719        0.013        0.605        0.451        0.013     -451.161
    66     36.000        0.044       533.376      -569.918        0.013        1.021        0.760        0.017     -451.161
    67     36.000        0.024       100.843      -553.936        0.013        1.920        1.429        0.014     -451.161
    68     36.000        0.023      -404.706      -604.331        0.013        1.971        1.468        0.016     -451.161
    69     37.000        0.027       381.974      -576.147        0.012        1.564        1.165        0.013     -451.577
    70     37.000        0.025       594.932      -601.885        0.012        1.687        1.256        0.016     -451.577
    71     38.000        0.042        41.114      -610.813        0.013        1.026        0.764        0.015     -451.992
    72     38.000        0.032      -105.098      -609.317        0.013        1.359        1.012        0.016     -451.992
    73     39.000        0.037      -423.563      -606.303        0.013        1.220        0.908        0.015     -452.408
    74     39.000        0.029       236.766      -612.326        0.013        1.574        1.172        0.012     -452.408
    75     42.000        0.048        11.935      -610.466        0.012        0.855        0.637        0.013     -453.654
    76     42.000        0.046      -593.042      -610.497        0.012        0.909        0.677        0.016     -453.654
    77     42.000        0.031      -598.110      -604.150        0.012        1.317        0.981        0.016     -453.654
    78     43.000        0.086       614.067       301.461        0.013        0.498        0.371        0.013     -454.069
    79     43.000        0.034       429.881      -536.980        0.013        1.275        0.949        0.015     -454.069
    80     44.000        0.042      -523.409      -602.177        0.013        1.088        0.810        0.017     -454.485
    81     45.000        0.041        86.388      -589.148        0.013        1.094        0.814        0.014     -454.900
    82     45.000        0.039      -563.640      -611.782        0.013        1.125        0.838        0.018     -454.900
    83     45.000        0.033      -551.795      -609.250        0.013        1.333        0.993        0.015     -454.900
    84     45.000        0.031      -567.396      -606.041        0.013        1.446        1.077        0.015     -454.900
    85     45.000        0.026      -252.769      -475.224        0.013        1.675        1.247        0.015     -454.900
    86     46.000        0.034       122.271      -551.312        0.012        1.247        0.928        0.013     -455.316
    87     47.000        0.049      -604.267      -542.798        0.014        0.955        0.711        0.019     -455.731
    88     47.000        0.041        26.371      -603.762        0.014        1.126        0.839        0.014     -455.731
    89     47.000        0.034      -611.540      -548.379        0.014        1.370        1.020        0.018     -455.731
    90     48.000        0.035       111.117      -603.794        0.013        1.255        0.935        0.017     -456.147
    91     50.000        0.061      -342.383      -614.257        0.013        0.734        0.547        0.019     -456.978
    92     50.000        0.032       577.542      -609.172        0.013        1.418        1.056        0.014     -456.978
    93     50.000        0.026      -476.450      -606.943        0.013        1.703        1.268        0.014     -456.978
    94     51.000        0.028      -253.641      -605.624        0.013        1.586        1.181        0.017     -457.393
    95     52.000        0.047      -313.325      -613.875        0.012        0.901        0.671        0.015     -457.809
    96     52.000        0.040       306.005      -577.970        0.012        1.054        0.785        0.017     -457.809
    97     53.000        0.050      -465.708      -572.693        0.013        0.864        0.644        0.013     -458.224
    98     53.000        0.030      -460.253      -601.771        0.013        1.440        1.073        0.014     -458.224
    99     54.000        0.044      -513.324      -607.984        0.012        0.952        0.709        0.015     -458.639
   100     54.000        0.039       329.109      -609.721        0.012        1.074        0.800        0.013     -458.639
   101     54.000        0.037       498.696      -600.235        0.012        1.117        0.832        0.013     -458.639
   102     54.000        0.026      -232.180      -593.049        0.012        1.577        1.174        0.017     -458.639
   103     55.000        0.048      -468.856      -613.070        0.013        0.959        0.714        0.018     -459.055
   104     55.000        0.045      -333.250      -613.157        0.013        1.012        0.754        0.014     -459.055
   105     55.000        0.027      -470.208      -604.168        0.013        1.705        1.269        0.017     -459.055
   106     56.000        0.032        75.568      -583.306        0.014        1.479        1.101        0.017     -459.470
   107     57.000        0.024      -398.472      -542.159        0.013        1.788        1.332        0.015     -459.886
   108     58.000        0.031      -606.827      -606.276        0.013        1.479        1.102        0.015     -460.301
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109     59.000        0.047       282.179      -613.205        0.012        0.911        0.678        0.014     -460.717
   110     59.000        0.037      -501.960      -611.166        0.012        1.156        0.861        0.014     -460.717
   111     59.000        0.031      -352.265      -567.736        0.012        1.367        1.018        0.013     -460.717
   112     60.000        0.041       524.436      -588.535        0.012        1.007        0.750        0.013     -461.132
   113     60.000        0.035      -205.272      -583.794        0.012        1.181        0.879        0.012     -461.132
   114     61.000        0.026       175.275      -472.716        0.013        1.667        1.241        0.013     -461.548
   115     62.000        0.026       108.229      -584.142        0.013        1.748        1.302        0.016     -461.963
   116     63.000        0.047      -249.783      -613.443        0.013        0.965        0.718        0.014     -462.378
   117     63.000        0.034      -505.172      -605.347        0.013        1.315        0.979        0.018     -462.378
   118     63.000        0.032      -499.482      -613.360        0.013        1.421        1.058        0.013     -462.378
   119     63.000        0.026       339.252      -602.304        0.013        1.735        1.292        0.014     -462.378
   120     64.000        0.042       157.178      -604.794        0.013        1.034        0.770        0.016     -462.794
