       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255U LINE2 .ICL001. 1   *****
 
     1      2.000        0.071       494.874       611.200        0.013        0.598        0.511        0.013     -445.493
     2      2.000        0.039       -19.270      -613.507        0.013        1.087        0.929        0.015     -445.493
     3      2.000        0.035       -24.691      -604.708        0.013        1.199        1.025        0.014     -445.493
     4      2.000        0.034       -15.894      -604.314        0.013        1.231        1.052        0.015     -445.493
     5      3.000        0.034       254.303      -613.203        0.013        1.245        1.064        0.022     -446.247
     6      3.000        0.028       284.872      -584.853        0.013        1.508        1.288        0.017     -446.247
     7      4.000        0.047      -453.531      -603.571        0.013        1.022        0.874        0.017     -447.000
     8      4.000        0.041      -461.070      -607.116        0.014        1.053        0.900        0.018     -447.000
     9      6.000        0.062      -544.435      -613.238        0.014        0.749        0.640        0.014     -448.507
    10      6.000        0.055      -388.688      -613.299        0.014        0.845        0.722        0.020     -448.507
    11      7.000        0.062      -193.899      -611.656        0.013        0.678        0.580        0.014     -449.260
    12      7.000        0.024       365.001      -612.497        0.013        1.760        1.504        0.017     -449.260
    13      8.000        0.047       610.989      -596.829        0.012        0.841        0.719        0.017     -450.013
    14      8.000        0.041       -15.523      -604.870        0.012        0.968        0.827        0.014     -450.013
    15      8.000        0.038        20.647      -490.563        0.012        1.044        0.892        0.014     -450.013
    16      9.000        0.057       357.426      -614.129        0.014        0.788        0.673        0.021     -450.767
    17      9.000        0.043       358.813      -602.631        0.014        1.039        0.888        0.017     -450.767
    18     10.000        0.046      -138.487      -608.385        0.013        0.914        0.781        0.020     -451.520
    19     11.000        0.047       294.335      -610.277        0.012        0.826        0.706        0.014     -452.274
    20     12.000        0.045      -519.030      -609.437        0.014        0.996        0.851        0.013     -453.027
    21     12.000        0.040       565.132      -610.809        0.014        1.135        0.970        0.016     -453.027
    22     13.000        0.063      -216.775      -613.399        0.014        0.722        0.617        0.012     -453.780
    23     13.000        0.042      -222.730      -606.988        0.014        1.085        0.927        0.019     -453.780
    24     13.000        0.039        18.669      -612.803        0.014        1.145        0.979        0.015     -453.780
    25     15.000        0.039      -206.083      -614.338        0.013        1.119        0.956        0.015     -455.287
    26     18.000        0.029      -252.496      -604.477        0.013        1.404        1.200        0.014     -457.547
    27     21.000        0.089      -282.338       608.057        0.012        0.443        0.379        0.012     -459.807
    28     21.000        0.041      -592.962      -611.997        0.012        0.971        0.830        0.020     -459.807
    29     22.000        0.072      -608.002      -613.093        0.014        0.612        0.523        0.017     -460.560
    30     23.000        0.047       212.810      -610.585        0.013        0.911        0.778        0.019     -461.314
    31     25.000        0.056       193.009      -611.307        0.013        0.755        0.645        0.012     -462.820
    32     25.000        0.044       -30.522      -613.879        0.013        0.961        0.821        0.015     -462.820
    33     25.000        0.039      -526.640      -606.997        0.013        1.077        0.921        0.018     -462.820
    34     26.000        0.050       -60.628      -604.415        0.014        0.873        0.746        0.016     -463.574
    35     26.000        0.024       -55.466      -611.752        0.014        1.821        1.556        0.015     -463.574
    36     27.000        0.137       185.253      -610.406        0.015        0.358        0.306        0.019     -464.327
    37     28.000        0.046        35.431      -613.017        0.012        0.876        0.749        0.012     -465.081
    38     29.000        0.110      -479.433       612.829        0.013        0.391        0.334        0.012     -465.834
    39     29.000        0.038       -47.857      -614.185        0.013        1.122        0.959        0.013     -465.834
    40     29.000        0.032       -56.451      -607.684        0.013        1.449        1.239        0.012     -465.834
    41     30.000        0.047      -560.919      -612.879        0.012        0.831        0.710        0.013     -466.587
    42     30.000        0.039       394.183      -576.164        0.012        0.999        0.854        0.015     -466.587
    43     30.000        0.030       558.407      -589.084        0.012        1.325        1.133        0.018     -466.587
    44     30.000        0.030       111.106      -559.011        0.012        1.327        1.134        0.016     -466.587
    45     31.000        0.047       210.306      -539.683        0.013        0.870        0.743        0.012     -467.341
    46     31.000        0.038       -64.971      -613.729        0.013        1.080        0.923        0.014     -467.341
    47     32.000        0.147       611.196       611.747        0.013        0.288        0.246        0.019     -468.094
    48     32.000        0.084      -614.254       612.167        0.013        0.503        0.430        0.019     -468.094
    49     33.000        0.048      -613.545      -608.341        0.013        0.881        0.753        0.016     -468.847
    50     33.000        0.041      -522.405      -613.268        0.013        1.044        0.892        0.012     -468.847
    51     35.000        0.037       411.704      -613.039        0.014        1.227        1.048        0.011     -470.354
    52     36.000        0.041       379.321      -610.170        0.013        0.986        0.843        0.017     -471.107
    53     36.000        0.032       141.482      -611.775        0.013        1.273        1.088        0.017     -471.107
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
    54     37.000        0.038       476.106      -610.493        0.014        1.139        0.973        0.014     -471.861
    55     39.000        0.047      -137.783      -613.587        0.013        0.891        0.761        0.010     -473.367
    56     39.000        0.042       236.393      -603.620        0.013        1.008        0.862        0.018     -473.367
    57     39.000        0.034       495.282      -610.224        0.013        1.224        1.046        0.014     -473.367
    58     40.000        0.042      -386.671      -610.360        0.013        1.004        0.858        0.018     -474.121
    59     40.000        0.031       405.328      -612.505        0.013        1.342        1.147        0.012     -474.121
    60     40.000        0.030      -379.399      -612.450        0.013        1.413        1.207        0.017     -474.121
    61     41.000        0.111       -63.374      -579.110        0.014        0.394        0.337        0.014     -474.874
    62     41.000        0.091      -610.171       611.679        0.014        0.478        0.408        0.014     -474.874
    63     42.000        0.076      -557.613      -614.206        0.013        0.538        0.460        0.016     -475.627
    64     42.000        0.050      -500.907      -612.763        0.013        0.817        0.698        0.017     -475.627
    65     42.000        0.043      -555.833      -604.726        0.013        0.951        0.813        0.016     -475.627
    66     42.000        0.030       254.116      -611.237        0.013        1.370        1.171        0.014     -475.627
    67     42.000        0.028      -407.806      -611.539        0.013        1.461        1.249        0.012     -475.627
    68     43.000        0.068      -598.601      -611.746        0.013        0.640        0.547        0.015     -476.381
    69     43.000        0.048      -607.363      -613.590        0.013        0.903        0.771        0.018     -476.381
    70     44.000        0.025       610.535      -577.875        0.013        1.612        1.378        0.017     -477.134
    71     45.000        0.061       333.163      -613.884        0.013        0.683        0.584        0.016     -477.888
    72     45.000        0.058       329.002      -608.762        0.013        0.718        0.614        0.015     -477.888
    73     48.000        0.075      -269.138      -613.378        0.014        0.593        0.507        0.013     -480.148
    74     48.000        0.052      -118.137      -611.308        0.014        0.859        0.734        0.013     -480.148
    75     48.000        0.036      -298.474      -610.342        0.014        1.226        1.048        0.015     -480.148
    76     48.000        0.035       307.194      -606.113        0.014        1.275        1.089        0.016     -480.148
    77     49.000        0.038      -612.982      -612.836        0.014        1.164        0.995        0.016     -480.901
    78     50.000        0.073       486.895      -606.866        0.013        0.560        0.479        0.017     -481.654
    79     50.000        0.048       538.715      -611.537        0.013        0.866        0.740        0.014     -481.654
    80     50.000        0.039       105.202      -609.699        0.013        1.059        0.905        0.015     -481.654
    81     51.000        0.056       371.789      -557.543        0.013        0.761        0.650        0.013     -482.408
    82     52.000        0.039      -260.797      -613.521        0.013        1.052        0.899        0.012     -483.161
    83     52.000        0.037       391.472      -601.916        0.013        1.089        0.930        0.014     -483.161
    84     52.000        0.036       391.047      -612.147        0.013        1.132        0.967        0.014     -483.161
    85     53.000        0.035       363.478      -592.079        0.013        1.174        1.003        0.014     -483.914
    86     53.000        0.033       -11.484      -590.603        0.013        1.254        1.072        0.014     -483.914
    87     54.000        0.108       612.982       363.146        0.014        0.424        0.363        0.014     -484.668
    88     55.000        0.038       547.486      -606.985        0.013        1.056        0.902        0.017     -485.421
    89     55.000        0.034       161.218      -612.930        0.013        1.186        1.014        0.011     -485.421
    90     55.000        0.030      -268.229      -608.434        0.013        1.373        1.173        0.011     -485.421
    91     56.000        0.015       302.835      -609.533        0.014        2.866        2.449        0.017     -486.174
    92     58.000        0.017        42.159      -509.633        0.013        2.442        2.087        0.013     -487.681
    93     59.000        0.039       -26.466      -606.843        0.013        1.048        0.896        0.018     -488.434
    94     59.000        0.036       -18.426      -608.088        0.013        1.142        0.976        0.017     -488.434
    95     59.000        0.026       206.392      -609.492        0.013        1.578        1.348        0.014     -488.434
    96     60.000        0.039      -387.164      -609.610        0.015        1.227        1.048        0.018     -489.188
    97     63.000        0.037       109.750      -595.886        0.013        1.163        0.993        0.015     -491.448
    98     65.000        0.052      -408.252      -614.086        0.014        0.837        0.715        0.014     -492.955
    99     66.000        0.169       -70.744       -53.524        0.013        0.243        0.207        0.027     -493.708
   100     66.000        0.106       -77.485       -56.766        0.013        0.388        0.331        0.017     -493.708
   101     66.000        0.081      -425.805      -611.331        0.013        0.508        0.434        0.013     -493.708
   102     66.000        0.075      -112.548      -611.650        0.013        0.544        0.465        0.013     -493.708
   103     68.000        0.057       264.131      -609.673        0.015        0.836        0.714        0.017     -495.215
   104     68.000        0.044       253.063      -612.644        0.015        1.087        0.928        0.017     -495.215
   105     70.000        0.537       -72.771       -48.617        0.014        0.095        0.081        0.015     -496.721
   106     70.000        0.247       -75.473       -50.479        0.015        0.189        0.162        0.016     -496.721
   107     71.000        0.076       308.406      -613.664        0.014        0.611        0.522        0.017     -497.475
   108     72.000        0.103      -612.277      -381.468        0.014        0.421        0.359        0.015     -498.228
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:34               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109     72.000        0.053      -345.855      -613.228        0.014        0.815        0.696        0.015     -498.228
   110     73.000        0.282       -72.550       -47.914        0.016        0.181        0.155        0.015     -498.981
   111     73.000        0.105       -69.024       -55.185        0.016        0.486        0.415        0.018     -498.981
   112     73.000        0.055        90.475      -612.442        0.016        0.927        0.792        0.015     -498.981
   113     74.000        0.198       -72.153       -47.558        0.014        0.246        0.210        0.013     -499.735
   114     74.000        0.080       -68.117       -54.263        0.014        0.559        0.478        0.012     -499.735
   115     74.000        0.059      -374.222      -610.771        0.014        0.759        0.648        0.012     -499.735
   116     75.000        0.141       -73.355       -47.493        0.014        0.313        0.268        0.013     -500.488
   117     75.000        0.131       -27.062       -35.522        0.014        0.336        0.287        0.012     -500.488
   118     76.000        0.553       -27.139       -35.658        0.014        0.078        0.067        0.032     -501.241
   119     76.000        0.144       -36.312       -36.364        0.014        0.302        0.258        0.019     -501.241
   120     77.000        1.707       -26.668       -35.496        0.015        0.028        0.024        0.034     -501.995
