       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:35               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255X LINE2 .ICL001. 1   *****
 
     1      1.000        0.057      -507.192      -614.214        0.013        0.971        0.680        0.013     -477.379
     2      3.000        0.037       610.936      -598.643        0.013        1.474        1.032        0.018     -478.284
     3      4.000        0.046      -152.770      -605.572        0.014        1.305        0.914        0.013     -478.736
     4      4.000        0.041      -144.618      -613.976        0.014        1.477        1.034        0.014     -478.736
     5      4.000        0.037      -140.543      -606.196        0.014        1.613        1.129        0.014     -478.736
     6      4.000        0.034      -155.677      -611.304        0.014        1.747        1.223        0.016     -478.736
     7      4.000        0.025       137.592      -610.879        0.014        2.366        1.657        0.012     -478.736
     8      5.000        0.096      -611.150      -612.708        0.015        0.654        0.458        0.018     -479.189
     9      5.000        0.054      -599.940      -611.408        0.015        1.165        0.816        0.014     -479.189
    10      5.000        0.035      -576.369      -611.238        0.015        1.793        1.256        0.018     -479.189
    11      5.000        0.032      -588.606      -612.016        0.015        1.959        1.372        0.013     -479.189
    12      6.000        0.032      -357.378      -612.873        0.013        1.786        1.250        0.012     -479.641
    13      7.000        0.062      -267.159      -611.301        0.013        0.868        0.608        0.018     -480.094
    14      7.000        0.022      -234.225      -611.592        0.013        2.451        1.716        0.013     -480.094
    15      9.000        0.087      -593.678      -612.420        0.013        0.668        0.467        0.014     -480.999
    16      9.000        0.075       501.233      -614.026        0.013        0.770        0.539        0.016     -480.999
    17      9.000        0.063      -467.559      -608.325        0.013        0.920        0.644        0.015     -480.999
    18      9.000        0.046      -456.739      -612.353        0.013        1.249        0.875        0.016     -480.999
    19      9.000        0.046      -604.124      -610.051        0.013        1.257        0.880        0.021     -480.999
    20      9.000        0.030      -457.639      -603.919        0.013        1.906        1.335        0.015     -480.999
    21     10.000        0.027      -507.207      -609.366        0.013        2.145        1.502        0.012     -481.452
    22     11.000        0.036       -52.727      -609.691        0.012        1.438        1.007        0.018     -481.904
    23     12.000        0.057       462.596      -613.710        0.014        1.045        0.732        0.013     -482.357
    24     12.000        0.053       608.991      -612.989        0.014        1.121        0.785        0.016     -482.357
    25     12.000        0.037      -252.149      -614.215        0.014        1.580        1.106        0.012     -482.357
    26     12.000        0.028       447.450      -608.638        0.014        2.143        1.501        0.013     -482.357
    27     13.000        0.073       517.322      -612.652        0.013        0.771        0.540        0.014     -482.809
    28     13.000        0.048       330.449      -613.056        0.013        1.185        0.830        0.012     -482.809
    29     13.000        0.037       332.984      -603.341        0.013        1.511        1.058        0.014     -482.809
    30     14.000        0.041      -475.930      -607.885        0.012        1.236        0.865        0.014     -483.262
    31     14.000        0.036       533.598      -530.900        0.012        1.424        0.997        0.015     -483.262
    32     14.000        0.033      -593.400      -595.864        0.012        1.539        1.077        0.015     -483.262
    33     14.000        0.027      -486.428      -608.339        0.012        1.856        1.300        0.014     -483.262
    34     15.000        0.045       595.572      -600.358        0.013        1.266        0.886        0.017     -483.714
    35     15.000        0.026       595.658      -609.079        0.013        2.151        1.506        0.017     -483.714
    36     16.000        0.039       154.373      -607.737        0.013        1.396        0.977        0.013     -484.167
    37     16.000        0.039       167.563      -613.207        0.013        1.414        0.990        0.014     -484.167
    38     16.000        0.026       143.752      -612.749        0.013        2.273        1.591        0.014     -484.167
    39     16.000        0.026      -362.021      -604.439        0.013        2.088        1.462        0.016     -484.167
    40     19.000        0.073      -417.840      -610.328        0.013        0.786        0.550        0.013     -485.524
    41     19.000        0.070      -271.761      -614.207        0.013        0.825        0.577        0.016     -485.524
    42     19.000        0.045      -406.895      -610.141        0.013        1.273        0.892        0.016     -485.524
    43     19.000        0.040      -429.705      -611.492        0.013        1.420        0.995        0.013     -485.524
    44     20.000        0.068      -611.761      -425.767        0.013        0.840        0.588        0.020     -485.977
    45     20.000        0.050      -518.142      -610.112        0.013        1.147        0.803        0.014     -485.977
    46     20.000        0.042       556.130      -601.676        0.013        1.356        0.949        0.017     -485.977
    47     20.000        0.039       544.577      -606.873        0.013        1.457        1.020        0.017     -485.977
    48     20.000        0.028      -502.623      -611.354        0.013        2.025        1.418        0.014     -485.977
    49     21.000        0.019      -557.794      -608.600        0.013        2.844        1.992        0.013     -486.429
    50     22.000        0.037       -98.035      -613.704        0.012        1.410        0.987        0.013     -486.882
    51     23.000        0.026       224.568      -573.111        0.012        2.077        1.454        0.013     -487.334
    52     25.000        0.054      -468.886      -613.278        0.013        1.043        0.730        0.016     -488.240
    53     25.000        0.043       111.392      -612.330        0.013        1.329        0.931        0.012     -488.240
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:35               Page    2
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
    54     25.000        0.030       450.530      -608.657        0.013        1.903        1.332        0.013     -488.240
    55     25.000        0.028      -479.783      -609.620        0.013        2.059        1.441        0.014     -488.240
    56     26.000        0.030        25.443      -544.774        0.013        1.772        1.241        0.015     -488.692
    57     28.000        0.034      -160.766      -610.946        0.014        1.783        1.249        0.016     -489.597
    58     29.000        0.039       504.111      -610.972        0.012        1.370        0.959        0.012     -490.050
    59     29.000        0.039      -326.740      -596.961        0.012        1.375        0.963        0.014     -490.050
    60     30.000        0.051       613.467      -599.615        0.014        1.187        0.831        0.023     -490.502
    61     30.000        0.037      -386.257      -613.454        0.014        1.632        1.143        0.011     -490.502
    62     30.000        0.037       600.472      -598.379        0.014        1.642        1.150        0.020     -490.502
    63     31.000        0.077      -479.879      -613.259        0.013        0.724        0.507        0.011     -490.955
    64     31.000        0.053       301.246      -614.015        0.013        1.040        0.728        0.011     -490.955
    65     31.000        0.042       204.497      -613.643        0.013        1.324        0.927        0.014     -490.955
    66     31.000        0.039      -474.396      -608.203        0.013        1.439        1.008        0.015     -490.955
    67     31.000        0.033      -486.844      -607.391        0.013        1.699        1.189        0.012     -490.955
    68     32.000        0.033       240.099      -611.181        0.013        1.755        1.229        0.016     -491.407
    69     33.000        0.041       574.195      -588.920        0.014        1.427        0.999        0.017     -491.860
    70     33.000        0.025       587.932      -591.991        0.014        2.313        1.620        0.018     -491.860
    71     33.000        0.023       424.476      -565.663        0.014        2.562        1.794        0.017     -491.860
    72     33.000        0.018       608.751      -602.908        0.014        3.216        2.252        0.016     -491.860
    73     34.000        0.029       464.233      -602.130        0.014        2.073        1.452        0.017     -492.312
    74     35.000        0.050       403.053      -611.222        0.013        1.109        0.776        0.011     -492.765
    75     37.000        0.061       551.106      -614.318        0.013        0.890        0.623        0.013     -493.670
    76     37.000        0.051      -447.706      -610.657        0.013        1.061        0.743        0.016     -493.670
    77     37.000        0.029       -76.394      -610.784        0.013        1.874        1.312        0.012     -493.670
    78     38.000        0.064       -83.622      -612.958        0.013        0.888        0.622        0.017     -494.122
    79     40.000        0.040       335.343      -582.232        0.013        1.441        1.009        0.014     -495.028
    80     40.000        0.012      -377.888      -608.007        0.013        4.721        3.306        0.018     -495.028
    81     41.000        0.027      -209.200      -611.179        0.014        2.165        1.516        0.014     -495.480
    82     41.000        0.026       341.358      -606.894        0.013        2.421        1.695        0.017     -495.480
    83     41.000        0.025       333.136      -612.013        0.014        2.302        1.612        0.016     -495.480
    84     42.000        0.039      -250.518      -465.804        0.013        1.436        1.006        0.014     -495.933
    85     42.000        0.032      -239.283      -459.394        0.013        1.789        1.253        0.014     -495.933
    86     43.000        0.061       279.090       611.398        0.013        0.923        0.646        0.018     -496.385
    87     44.000        0.029       475.733      -570.613        0.013        1.879        1.316        0.016     -496.838
    88     44.000        0.021       464.251      -572.038        0.013        2.658        1.861        0.016     -496.838
    89     46.000        0.033      -332.174      -611.629        0.012        1.584        1.109        0.013     -497.743
    90     46.000        0.023       284.728      -606.555        0.012        2.274        1.592        0.015     -497.743
    91     47.000        0.030       601.145      -578.643        0.013        1.819        1.274        0.017     -498.195
    92     47.000        0.029      -396.620      -566.042        0.013        1.893        1.326        0.011     -498.195
    93     47.000        0.020       613.611      -583.401        0.013        2.758        1.931        0.023     -498.195
    94     48.000        0.031      -216.482      -613.592        0.013        1.833        1.284        0.013     -498.648
    95     48.000        0.023      -207.422      -614.209        0.013        2.474        1.733        0.014     -498.648
    96     48.000        0.018       277.283      -607.149        0.013        3.217        2.252        0.015     -498.648
    97     49.000        0.058      -434.903      -613.820        0.014        1.034        0.724        0.012     -499.100
    98     51.000        0.064      -535.983      -614.206        0.012        0.827        0.579        0.015     -500.005
    99     51.000        0.055      -606.437      -607.449        0.012        0.958        0.670        0.016     -500.005
   100     53.000        0.044      -571.033      -614.011        0.013        1.251        0.876        0.015     -500.910
   101     53.000        0.041      -583.313      -609.380        0.013        1.344        0.941        0.016     -500.910
   102     53.000        0.041       245.350      -604.996        0.013        1.368        0.958        0.013     -500.910
   103     53.000        0.031       255.072      -609.263        0.013        1.782        1.248        0.012     -500.910
   104     53.000        0.029      -572.984      -604.899        0.013        1.904        1.333        0.017     -500.910
   105     55.000        0.031       454.882      -603.553        0.013        1.795        1.257        0.014     -501.816
   106     56.000        0.037        89.578      -607.158        0.014        1.619        1.134        0.017     -502.268
   107     56.000        0.024        77.645      -603.745        0.014        2.504        1.754        0.014     -502.268
   108     57.000        0.044       456.497      -567.840        0.013        1.281        0.897        0.014     -502.721
       magilla    MFPRT(31DEC13)     745               09-NOV-2015   22:15:35               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109     57.000        0.031       445.102      -568.605        0.013        1.813        1.270        0.017     -502.721
   110     57.000        0.028       609.765      -607.614        0.013        2.057        1.441        0.017     -502.721
   111     57.000        0.020      -312.393      -612.327        0.013        2.826        1.979        0.013     -502.721
   112     58.000        0.057      -534.035      -613.586        0.012        0.945        0.661        0.018     -503.173
   113     58.000        0.051      -474.669      -613.770        0.012        1.061        0.743        0.011     -503.173
   114     59.000        0.070       485.831       613.516        0.014        0.826        0.578        0.013     -503.626
   115     59.000        0.063      -526.233      -601.310        0.014        0.915        0.641        0.015     -503.626
   116     59.000        0.041        63.506      -611.080        0.014        1.430        1.001        0.015     -503.626
   117     59.000        0.039      -529.654      -608.132        0.014        1.495        1.046        0.014     -503.626
   118     59.000        0.027      -517.407      -608.160        0.014        2.160        1.512        0.017     -503.626
   119     60.000        0.042      -189.311      -614.371        0.014        1.471        1.030        0.015     -504.078
   120     61.000        0.054      -575.602      -613.770        0.013        1.036        0.726        0.016     -504.531
