Header information
 
Source: G305.200+0.0
RA:   13 11 16.89        DEC: -62 45 54.99   (J2000)
OBS. DATE: 20130318          Time of record:   0/ 14 25  0.2
No. channels:   281           First channel plotted  1100
Bw (kHz):     10.067
Rest freq. (MHz) :    6668.5195      Av. weight :      38.1274
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
  1100    1  I           6680.0641     -477.379         0.997905          0.00000
  1101    1  I           6680.0742     -477.831         0.997296          0.00000
  1102    1  I           6680.0843     -478.284         0.996977          0.00000
  1103    1  I           6680.0944     -478.736         0.997561          0.00000
  1104    1  I           6680.1044     -479.189         0.997410          0.00000
  1105    1  I           6680.1145     -479.641         0.997717          0.00000
  1106    1  I           6680.1246     -480.094         0.997577          0.00000
  1107    1  I           6680.1346     -480.546         0.996928          0.00000
  1108    1  I           6680.1447     -480.999         0.997201          0.00000
  1109    1  I           6680.1548     -481.451         0.997233          0.00000
  1110    1  I           6680.1648     -481.904         0.996978          0.00000
  1111    1  I           6680.1749     -482.357         0.997339          0.00000
  1112    1  I           6680.1850     -482.809         0.996834          0.00000
  1113    1  I           6680.1950     -483.262         0.997310          0.00000
  1114    1  I           6680.2051     -483.714         0.997234          0.00000
  1115    1  I           6680.2152     -484.167         0.997118          0.00000
  1116    1  I           6680.2252     -484.619         0.997039          0.00000
  1117    1  I           6680.2353     -485.072         0.996879          0.00000
  1118    1  I           6680.2454     -485.524         0.996688          0.00000
  1119    1  I           6680.2554     -485.977         0.996545          0.00000
  1120    1  I           6680.2655     -486.429         0.996860          0.00000
  1121    1  I           6680.2756     -486.882         0.996634          0.00000
  1122    1  I           6680.2856     -487.334         0.997098          0.00000
  1123    1  I           6680.2957     -487.787         0.997185          0.00000
  1124    1  I           6680.3058     -488.240         0.996743          0.00000
  1125    1  I           6680.3158     -488.692         0.996852          0.00000
  1126    1  I           6680.3259     -489.145         0.996776          0.00000
  1127    1  I           6680.3360     -489.597         0.997176          0.00000
  1128    1  I           6680.3460     -490.050         0.997250          0.00000
  1129    1  I           6680.3561     -490.502         0.997819          0.00000
  1130    1  I           6680.3662     -490.955         0.998366          0.00000
  1131    1  I           6680.3762     -491.407         0.999082          0.00000
  1132    1  I           6680.3863     -491.860         0.998969          0.00000
  1133    1  I           6680.3964     -492.312         0.998817          0.00000
  1134    1  I           6680.4064     -492.765         0.998695          0.00000
  1135    1  I           6680.4165     -493.217         0.997530          0.00000
  1136    1  I           6680.4266     -493.670         0.997399          0.00000
  1137    1  I           6680.4366     -494.122         0.996932          0.00000
  1138    1  I           6680.4467     -494.575         0.996101          0.00000
  1139    1  I           6680.4568     -495.028         0.996541          0.00000
  1140    1  I           6680.4668     -495.480         0.997066          0.00000
  1141    1  I           6680.4769     -495.933         0.996588          0.00000
  1142    1  I           6680.4870     -496.385         0.996322          0.00000
  1143    1  I           6680.4971     -496.838         0.996467          0.00000
  1144    1  I           6680.5071     -497.290         0.996228          0.00000
  1145    1  I           6680.5172     -497.743         0.996393          0.00000
  1146    1  I           6680.5273     -498.195         0.996207          0.00000
  1147    1  I           6680.5373     -498.648         0.995863          0.00000
  1148    1  I           6680.5474     -499.100         0.996523          0.00000
  1149    1  I           6680.5575     -499.553         0.996700          0.00000
  1150    1  I           6680.5675     -500.005         0.996911          0.00000
  1151    1  I           6680.5776     -500.458         0.997052          0.00000
  1152    1  I           6680.5877     -500.910         0.997191          0.00000
  1153    1  I           6680.5977     -501.363         0.997451          0.00000
  1154    1  I           6680.6078     -501.816         0.997591          0.00000
  1155    1  I           6680.6179     -502.268         0.997212          0.00000
  1156    1  I           6680.6279     -502.721         0.997412          0.00000
  1157    1  I           6680.6380     -503.173         0.997155          0.00000
  1158    1  I           6680.6481     -503.626         0.996957          0.00000
  1159    1  I           6680.6581     -504.078         0.997324          0.00000
  1160    1  I           6680.6682     -504.531         0.997346          0.00000
  1161    1  I           6680.6783     -504.983         0.997081          0.00000
  1162    1  I           6680.6883     -505.436         0.997504          0.00000
  1163    1  I           6680.6984     -505.888         0.998287          0.00000
  1164    1  I           6680.7085     -506.341          1.00004          0.00000
  1165    1  I           6680.7185     -506.793          1.00082          0.00000
  1166    1  I           6680.7286     -507.246          1.00177          0.00000
  1167    1  I           6680.7387     -507.698          1.00373          0.00000
  1168    1  I           6680.7487     -508.151          1.00510          0.00000
  1169    1  I           6680.7588     -508.604          1.00540          0.00000
  1170    1  I           6680.7689     -509.056          1.00509          0.00000
  1171    1  I           6680.7789     -509.509          1.00416          0.00000
  1172    1  I           6680.7890     -509.961          1.00269          0.00000
  1173    1  I           6680.7991     -510.414          1.00180          0.00000
  1174    1  I           6680.8091     -510.866          1.00133          0.00000
  1175    1  I           6680.8192     -511.319          1.00343          0.00000
  1176    1  I           6680.8293     -511.771          1.01179          0.00000
  1177    1  I           6680.8393     -512.224          1.02909          0.00000
  1178    1  I           6680.8494     -512.676          1.04810          0.00000
  1179    1  I           6680.8595     -513.129          1.06803          0.00000
  1180    1  I           6680.8695     -513.581          1.09172          0.00000
  1181    1  I           6680.8796     -514.034          1.12007          0.00000
  1182    1  I           6680.8897     -514.487          1.15470          0.00000
  1183    1  I           6680.8997     -514.939          1.18881          0.00000
  1184    1  I           6680.9098     -515.392          1.21601          0.00000
  1185    1  I           6680.9199     -515.844          1.23577          0.00000
  1186    1  I           6680.9300     -516.297          1.24700          0.00000
  1187    1  I           6680.9400     -516.749          1.24883          0.00000
  1188    1  I           6680.9501     -517.202          1.24654          0.00000
  1189    1  I           6680.9602     -517.654          1.24312          0.00000
  1190    1  I           6680.9702     -518.107          1.23696          0.00000
  1191    1  I           6680.9803     -518.559          1.22137          0.00000
  1192    1  I           6680.9904     -519.012          1.19688          0.00000
  1193    1  I           6681.0004     -519.464          1.16800          0.00000
  1194    1  I           6681.0105     -519.917          1.13665          0.00000
  1195    1  I           6681.0206     -520.369          1.10465          0.00000
  1196    1  I           6681.0306     -520.822          1.06996          0.00000
  1197    1  I           6681.0407     -521.275          1.04075          0.00000
  1198    1  I           6681.0508     -521.727          1.02167          0.00000
  1199    1  I           6681.0608     -522.180          1.01574          0.00000
  1200    1  I           6681.0709     -522.632          1.02073          0.00000
  1201    1  I           6681.0810     -523.085          1.03282          0.00000
  1202    1  I           6681.0910     -523.537          1.05165          0.00000
  1203    1  I           6681.1011     -523.990          1.07478          0.00000
  1204    1  I           6681.1112     -524.442          1.09855          0.00000
  1205    1  I           6681.1212     -524.895          1.12261          0.00000
  1206    1  I           6681.1313     -525.347          1.15094          0.00000
  1207    1  I           6681.1414     -525.800          1.18441          0.00000
  1208    1  I           6681.1514     -526.252          1.21780          0.00000
  1209    1  I           6681.1615     -526.705          1.24757          0.00000
  1210    1  I           6681.1716     -527.157          1.26812          0.00000
  1211    1  I           6681.1816     -527.610          1.26214          0.00000
  1212    1  I           6681.1917     -528.062          1.21702          0.00000
  1213    1  I           6681.2018     -528.515          1.14219          0.00000
  1214    1  I           6681.2118     -528.968          1.06695          0.00000
  1215    1  I           6681.2219     -529.420          1.01948          0.00000
  1216    1  I           6681.2320     -529.873          1.00248          0.00000
  1217    1  I           6681.2420     -530.325         0.999021          0.00000
  1218    1  I           6681.2521     -530.778         0.997566          0.00000
  1219    1  I           6681.2622     -531.230         0.996253          0.00000
  1220    1  I           6681.2722     -531.683         0.996209          0.00000
  1221    1  I           6681.2823     -532.135         0.995357          0.00000
  1222    1  I           6681.2924     -532.588         0.995313          0.00000
  1223    1  I           6681.3024     -533.040         0.995142          0.00000
  1224    1  I           6681.3125     -533.493         0.994754          0.00000
  1225    1  I           6681.3226     -533.945         0.994493          0.00000
  1226    1  I           6681.3327     -534.398         0.994323          0.00000
  1227    1  I           6681.3427     -534.851         0.993706          0.00000
  1228    1  I           6681.3528     -535.303         0.994656          0.00000
  1229    1  I           6681.3629     -535.756         0.993606          0.00000
  1230    1  I           6681.3729     -536.208         0.994022          0.00000
  1231    1  I           6681.3830     -536.661         0.993589          0.00000
  1232    1  I           6681.3931     -537.113         0.993053          0.00000
  1233    1  I           6681.4031     -537.566         0.993399          0.00000
  1234    1  I           6681.4132     -538.018         0.993518          0.00000
  1235    1  I           6681.4233     -538.471         0.993513          0.00000
  1236    1  I           6681.4333     -538.923         0.993577          0.00000
  1237    1  I           6681.4434     -539.376         0.994286          0.00000
  1238    1  I           6681.4535     -539.828         0.993952          0.00000
  1239    1  I           6681.4635     -540.281         0.993913          0.00000
  1240    1  I           6681.4736     -540.733         0.993479          0.00000
  1241    1  I           6681.4837     -541.186         0.993152          0.00000
  1242    1  I           6681.4937     -541.639         0.993687          0.00000
  1243    1  I           6681.5038     -542.091         0.993177          0.00000
  1244    1  I           6681.5139     -542.544         0.992943          0.00000
  1245    1  I           6681.5239     -542.996         0.992893          0.00000
  1246    1  I           6681.5340     -543.449         0.993212          0.00000
  1247    1  I           6681.5441     -543.901         0.992579          0.00000
  1248    1  I           6681.5541     -544.354         0.993224          0.00000
  1249    1  I           6681.5642     -544.806         0.993142          0.00000
  1250    1  I           6681.5743     -545.259         0.993190          0.00000
  1251    1  I           6681.5843     -545.711         0.992995          0.00000
  1252    1  I           6681.5944     -546.164         0.993253          0.00000
  1253    1  I           6681.6045     -546.616         0.993306          0.00000
