Header information
 
Source: G305.200+0.0
RA:   13 11 16.89        DEC: -62 45 54.99   (J2000)
OBS. DATE: 20130617          Time of record:   0/ 13  9 19.8
No. channels:   281           First channel plotted  1100
Bw (kHz):      9.241
Rest freq. (MHz) :    6668.5195      Av. weight :       0.0011
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
  1100    1  I           6678.1559     -436.621          1.03173          0.00000
  1101    1  I           6678.1651     -437.036          1.03075          0.00000
  1102    1  I           6678.1744     -437.452          1.03210          0.00000
  1103    1  I           6678.1836     -437.867          1.03217          0.00000
  1104    1  I           6678.1929     -438.282          1.03095          0.00000
  1105    1  I           6678.2021     -438.698          1.03125          0.00000
  1106    1  I           6678.2113     -439.113          1.03065          0.00000
  1107    1  I           6678.2206     -439.529          1.03012          0.00000
  1108    1  I           6678.2298     -439.944          1.03111          0.00000
  1109    1  I           6678.2391     -440.360          1.03118          0.00000
  1110    1  I           6678.2483     -440.775          1.03060          0.00000
  1111    1  I           6678.2575     -441.191          1.03067          0.00000
  1112    1  I           6678.2668     -441.606          1.03071          0.00000
  1113    1  I           6678.2760     -442.021          1.03205          0.00000
  1114    1  I           6678.2853     -442.437          1.03163          0.00000
  1115    1  I           6678.2945     -442.852          1.03251          0.00000
  1116    1  I           6678.3037     -443.268          1.03075          0.00000
  1117    1  I           6678.3130     -443.683          1.03059          0.00000
  1118    1  I           6678.3222     -444.099          1.03126          0.00000
  1119    1  I           6678.3315     -444.514          1.03173          0.00000
  1120    1  I           6678.3407     -444.930          1.03086          0.00000
  1121    1  I           6678.3499     -445.345          1.03053          0.00000
  1122    1  I           6678.3592     -445.760          1.03068          0.00000
  1123    1  I           6678.3684     -446.176          1.03114          0.00000
  1124    1  I           6678.3777     -446.591          1.03000          0.00000
  1125    1  I           6678.3869     -447.007          1.02980          0.00000
  1126    1  I           6678.3962     -447.422          1.03157          0.00000
  1127    1  I           6678.4054     -447.838          1.03115          0.00000
  1128    1  I           6678.4146     -448.253          1.03048          0.00000
  1129    1  I           6678.4239     -448.669          1.03112          0.00000
  1130    1  I           6678.4331     -449.084          1.03078          0.00000
  1131    1  I           6678.4424     -449.500          1.03174          0.00000
  1132    1  I           6678.4516     -449.915          1.03161          0.00000
  1133    1  I           6678.4608     -450.330          1.03273          0.00000
  1134    1  I           6678.4701     -450.746          1.03009          0.00000
  1135    1  I           6678.4793     -451.161          1.03106          0.00000
  1136    1  I           6678.4886     -451.577          1.03000          0.00000
  1137    1  I           6678.4978     -451.992          1.03076          0.00000
  1138    1  I           6678.5070     -452.408          1.02941          0.00000
  1139    1  I           6678.5163     -452.823          1.03079          0.00000
  1140    1  I           6678.5255     -453.239          1.02904          0.00000
  1141    1  I           6678.5348     -453.654          1.03072          0.00000
  1142    1  I           6678.5440     -454.069          1.03048          0.00000
  1143    1  I           6678.5533     -454.485          1.03051          0.00000
  1144    1  I           6678.5625     -454.900          1.03032          0.00000
  1145    1  I           6678.5717     -455.316          1.03041          0.00000
  1146    1  I           6678.5810     -455.731          1.02963          0.00000
  1147    1  I           6678.5902     -456.147          1.03075          0.00000
  1148    1  I           6678.5995     -456.562          1.03053          0.00000
  1149    1  I           6678.6087     -456.978          1.02954          0.00000
  1150    1  I           6678.6179     -457.393          1.03051          0.00000
  1151    1  I           6678.6272     -457.808          1.03114          0.00000
  1152    1  I           6678.6364     -458.224          1.03115          0.00000
  1153    1  I           6678.6457     -458.639          1.03011          0.00000
  1154    1  I           6678.6549     -459.055          1.03116          0.00000
  1155    1  I           6678.6641     -459.470          1.03103          0.00000
  1156    1  I           6678.6734     -459.886          1.02982          0.00000
  1157    1  I           6678.6826     -460.301          1.03128          0.00000
  1158    1  I           6678.6919     -460.717          1.03158          0.00000
  1159    1  I           6678.7011     -461.132          1.03088          0.00000
  1160    1  I           6678.7103     -461.547          1.03100          0.00000
  1161    1  I           6678.7196     -461.963          1.03004          0.00000
  1162    1  I           6678.7288     -462.378          1.03058          0.00000
  1163    1  I           6678.7381     -462.794          1.03082          0.00000
  1164    1  I           6678.7473     -463.209          1.03120          0.00000
  1165    1  I           6678.7566     -463.625          1.03139          0.00000
  1166    1  I           6678.7658     -464.040          1.03167          0.00000
  1167    1  I           6678.7750     -464.456          1.03296          0.00000
  1168    1  I           6678.7843     -464.871          1.03345          0.00000
  1169    1  I           6678.7935     -465.286          1.03252          0.00000
  1170    1  I           6678.8028     -465.702          1.03382          0.00000
  1171    1  I           6678.8120     -466.117          1.03216          0.00000
  1172    1  I           6678.8212     -466.533          1.03139          0.00000
  1173    1  I           6678.8305     -466.948          1.03216          0.00000
  1174    1  I           6678.8397     -467.364          1.03146          0.00000
  1175    1  I           6678.8490     -467.779          1.03186          0.00000
  1176    1  I           6678.8582     -468.195          1.03419          0.00000
  1177    1  I           6678.8674     -468.610          1.03902          0.00000
  1178    1  I           6678.8767     -469.026          1.04503          0.00000
  1179    1  I           6678.8859     -469.441          1.04932          0.00000
  1180    1  I           6678.8952     -469.856          1.05530          0.00000
  1181    1  I           6678.9044     -470.272          1.06328          0.00000
  1182    1  I           6678.9137     -470.687          1.07235          0.00000
  1183    1  I           6678.9229     -471.103          1.08368          0.00000
  1184    1  I           6678.9321     -471.518          1.08876          0.00000
  1185    1  I           6678.9414     -471.934          1.09515          0.00000
  1186    1  I           6678.9506     -472.349          1.09752          0.00000
  1187    1  I           6678.9599     -472.765          1.09925          0.00000
  1188    1  I           6678.9691     -473.180          1.09706          0.00000
  1189    1  I           6678.9783     -473.595          1.09691          0.00000
  1190    1  I           6678.9876     -474.011          1.09360          0.00000
  1191    1  I           6678.9968     -474.426          1.08865          0.00000
  1192    1  I           6679.0061     -474.842          1.08460          0.00000
  1193    1  I           6679.0153     -475.257          1.07684          0.00000
  1194    1  I           6679.0245     -475.673          1.06815          0.00000
  1195    1  I           6679.0338     -476.088          1.06071          0.00000
  1196    1  I           6679.0430     -476.504          1.05015          0.00000
  1197    1  I           6679.0523     -476.919          1.04335          0.00000
  1198    1  I           6679.0615     -477.334          1.03751          0.00000
  1199    1  I           6679.0707     -477.750          1.03665          0.00000
  1200    1  I           6679.0800     -478.165          1.03605          0.00000
  1201    1  I           6679.0892     -478.581          1.03852          0.00000
  1202    1  I           6679.0985     -478.996          1.04436          0.00000
  1203    1  I           6679.1077     -479.412          1.05059          0.00000
  1204    1  I           6679.1170     -479.827          1.05788          0.00000
  1205    1  I           6679.1262     -480.243          1.06333          0.00000
  1206    1  I           6679.1354     -480.658          1.07125          0.00000
  1207    1  I           6679.1447     -481.074          1.08045          0.00000
  1208    1  I           6679.1539     -481.489          1.08941          0.00000
  1209    1  I           6679.1632     -481.904          1.09736          0.00000
  1210    1  I           6679.1724     -482.320          1.10367          0.00000
  1211    1  I           6679.1816     -482.735          1.10176          0.00000
  1212    1  I           6679.1909     -483.151          1.09040          0.00000
  1213    1  I           6679.2001     -483.566          1.07075          0.00000
  1214    1  I           6679.2094     -483.982          1.04966          0.00000
  1215    1  I           6679.2186     -484.397          1.03724          0.00000
  1216    1  I           6679.2278     -484.813          1.03188          0.00000
  1217    1  I           6679.2371     -485.228          1.03106          0.00000
  1218    1  I           6679.2463     -485.643          1.03205          0.00000
  1219    1  I           6679.2556     -486.059          1.02973          0.00000
  1220    1  I           6679.2648     -486.474          1.02926          0.00000
  1221    1  I           6679.2741     -486.890          1.02911          0.00000
  1222    1  I           6679.2833     -487.305          1.02852          0.00000
  1223    1  I           6679.2925     -487.721          1.02969          0.00000
  1224    1  I           6679.3018     -488.136          1.02942          0.00000
  1225    1  I           6679.3110     -488.552          1.03070          0.00000
  1226    1  I           6679.3203     -488.967          1.02846          0.00000
  1227    1  I           6679.3295     -489.383          1.02951          0.00000
  1228    1  I           6679.3387     -489.798          1.02939          0.00000
  1229    1  I           6679.3480     -490.213          1.03030          0.00000
  1230    1  I           6679.3572     -490.629          1.02891          0.00000
  1231    1  I           6679.3665     -491.044          1.02884          0.00000
  1232    1  I           6679.3757     -491.460          1.02960          0.00000
  1233    1  I           6679.3849     -491.875          1.02911          0.00000
  1234    1  I           6679.3942     -492.291          1.02976          0.00000
  1235    1  I           6679.4034     -492.706          1.03053          0.00000
  1236    1  I           6679.4127     -493.122          1.02910          0.00000
  1237    1  I           6679.4219     -493.537          1.02943          0.00000
  1238    1  I           6679.4311     -493.952          1.02928          0.00000
  1239    1  I           6679.4404     -494.368          1.02962          0.00000
  1240    1  I           6679.4496     -494.783          1.02921          0.00000
  1241    1  I           6679.4589     -495.199          1.02916          0.00000
  1242    1  I           6679.4681     -495.614          1.02875          0.00000
  1243    1  I           6679.4774     -496.030          1.02999          0.00000
  1244    1  I           6679.4866     -496.445          1.02960          0.00000
  1245    1  I           6679.4958     -496.861          1.03040          0.00000
  1246    1  I           6679.5051     -497.276          1.02862          0.00000
  1247    1  I           6679.5143     -497.691          1.02926          0.00000
  1248    1  I           6679.5236     -498.107          1.02969          0.00000
  1249    1  I           6679.5328     -498.522          1.02964          0.00000
  1250    1  I           6679.5420     -498.938          1.03027          0.00000
  1251    1  I           6679.5513     -499.353          1.02935          0.00000
  1252    1  I           6679.5605     -499.769          1.02908          0.00000
  1253    1  I           6679.5698     -500.184          1.02877          0.00000
  1254    1  I           6679.5790     -500.600          1.02906          0.00000
  1255    1  I           6679.5882     -501.015          1.02926          0.00000
  1256    1  I           6679.5975     -501.430          1.02991          0.00000
  1257    1  I           6679.6067     -501.846          1.02882          0.00000
  1258    1  I           6679.6160     -502.261          1.03123          0.00000
  1259    1  I           6679.6252     -502.677          1.03049          0.00000
  1260    1  I           6679.6345     -503.092          1.03077          0.00000
  1261    1  I           6679.6437     -503.508          1.02913          0.00000
  1262    1  I           6679.6529     -503.923          1.03037          0.00000
  1263    1  I           6679.6622     -504.339          1.03011          0.00000
  1264    1  I           6679.6714     -504.754          1.02991          0.00000
  1265    1  I           6679.6807     -505.169          1.03016          0.00000
  1266    1  I           6679.6899     -505.585          1.03003          0.00000
  1267    1  I           6679.6991     -506.000          1.02947          0.00000
  1268    1  I           6679.7084     -506.416          1.02813          0.00000
  1269    1  I           6679.7176     -506.831          1.03008          0.00000
  1270    1  I           6679.7269     -507.247          1.02969          0.00000
  1271    1  I           6679.7361     -507.662          1.03057          0.00000
  1272    1  I           6679.7453     -508.078          1.03007          0.00000
  1273    1  I           6679.7546     -508.493          1.03119          0.00000
  1274    1  I           6679.7638     -508.909          1.03014          0.00000
  1275    1  I           6679.7731     -509.324          1.03212          0.00000
  1276    1  I           6679.7823     -509.739          1.02942          0.00000
  1277    1  I           6679.7915     -510.155          1.03034          0.00000
  1278    1  I           6679.8008     -510.570          1.03045          0.00000
  1279    1  I           6679.8100     -510.986          1.03087          0.00000
  1280    1  I           6679.8193     -511.401          1.03014          0.00000
  1281    1  I           6679.8285     -511.817          1.03083          0.00000
  1282    1  I           6679.8378     -512.232          1.02944          0.00000
  1283    1  I           6679.8470     -512.648          1.03001          0.00000
  1284    1  I           6679.8562     -513.063          1.02974          0.00000
  1285    1  I           6679.8655     -513.478          1.03002          0.00000
  1286    1  I           6679.8747     -513.894          1.03019          0.00000
  1287    1  I           6679.8840     -514.309          1.02964          0.00000
  1288    1  I           6679.8932     -514.725          1.02891          0.00000
  1289    1  I           6679.9024     -515.140          1.03049          0.00000
  1290    1  I           6679.9117     -515.556          1.03079          0.00000
  1291    1  I           6679.9209     -515.971          1.03101          0.00000
  1292    1  I           6679.9302     -516.387          1.03061          0.00000
  1293    1  I           6679.9394     -516.802          1.03290          0.00000
  1294    1  I           6679.9486     -517.217          1.03191          0.00000
  1295    1  I           6679.9579     -517.633          1.03437          0.00000
  1296    1  I           6679.9671     -518.048          1.03590          0.00000
  1297    1  I           6679.9764     -518.464          1.03595          0.00000
  1298    1  I           6679.9856     -518.879          1.03561          0.00000
  1299    1  I           6679.9949     -519.295          1.03660          0.00000
  1300    1  I           6680.0041     -519.710          1.03407          0.00000
  1301    1  I           6680.0133     -520.126          1.03315          0.00000
  1302    1  I           6680.0226     -520.541          1.03441          0.00000
  1303    1  I           6680.0318     -520.957          1.03274          0.00000
  1304    1  I           6680.0411     -521.372          1.03249          0.00000
  1305    1  I           6680.0503     -521.787          1.03222          0.00000
  1306    1  I           6680.0595     -522.203          1.03065          0.00000
  1307    1  I           6680.0688     -522.618          1.03165          0.00000
  1308    1  I           6680.0780     -523.034          1.02996          0.00000
  1309    1  I           6680.0873     -523.449          1.03116          0.00000
  1310    1  I           6680.0965     -523.865          1.03258          0.00000
  1311    1  I           6680.1057     -524.280          1.03180          0.00000
  1312    1  I           6680.1150     -524.696          1.03135          0.00000
  1313    1  I           6680.1242     -525.111          1.03230          0.00000
  1314    1  I           6680.1335     -525.526          1.03252          0.00000
  1315    1  I           6680.1427     -525.942          1.03266          0.00000
  1316    1  I           6680.1519     -526.357          1.03251          0.00000
  1317    1  I           6680.1612     -526.773          1.03417          0.00000
  1318    1  I           6680.1704     -527.188          1.03390          0.00000
  1319    1  I           6680.1797     -527.604          1.03508          0.00000
  1320    1  I           6680.1889     -528.019          1.03385          0.00000
  1321    1  I           6680.1982     -528.435          1.03625          0.00000
  1322    1  I           6680.2074     -528.850          1.03590          0.00000
  1323    1  I           6680.2166     -529.266          1.03677          0.00000
  1324    1  I           6680.2259     -529.681          1.03831          0.00000
  1325    1  I           6680.2351     -530.096          1.03905          0.00000
  1326    1  I           6680.2444     -530.512          1.03863          0.00000
  1327    1  I           6680.2536     -530.927          1.03963          0.00000
  1328    1  I           6680.2628     -531.343          1.03789          0.00000
  1329    1  I           6680.2721     -531.758          1.03990          0.00000
  1330    1  I           6680.2813     -532.174          1.03790          0.00000
  1331    1  I           6680.2906     -532.589          1.03708          0.00000
  1332    1  I           6680.2998     -533.005          1.03764          0.00000
  1333    1  I           6680.3090     -533.420          1.03639          0.00000
  1334    1  I           6680.3183     -533.835          1.03453          0.00000
  1335    1  I           6680.3275     -534.251          1.03330          0.00000
  1336    1  I           6680.3368     -534.666          1.03216          0.00000
  1337    1  I           6680.3460     -535.082          1.03062          0.00000
  1338    1  I           6680.3553     -535.497          1.02962          0.00000
  1339    1  I           6680.3645     -535.913          1.03116          0.00000
  1340    1  I           6680.3737     -536.328          1.02922          0.00000
  1341    1  I           6680.3830     -536.744          1.03026          0.00000
  1342    1  I           6680.3922     -537.159          1.02943          0.00000
  1343    1  I           6680.4015     -537.574          1.02966          0.00000
  1344    1  I           6680.4107     -537.990          1.02951          0.00000
  1345    1  I           6680.4199     -538.405          1.02961          0.00000
  1346    1  I           6680.4292     -538.821          1.02986          0.00000
  1347    1  I           6680.4384     -539.236          1.02962          0.00000
  1348    1  I           6680.4477     -539.652          1.02908          0.00000
  1349    1  I           6680.4569     -540.067          1.02957          0.00000
  1350    1  I           6680.4661     -540.483          1.03042          0.00000
  1351    1  I           6680.4754     -540.898          1.03016          0.00000
  1352    1  I           6680.4846     -541.313          1.02898          0.00000
  1353    1  I           6680.4939     -541.729          1.02974          0.00000
  1354    1  I           6680.5031     -542.144          1.02993          0.00000
  1355    1  I           6680.5123     -542.560          1.03077          0.00000
  1356    1  I           6680.5216     -542.975          1.02926          0.00000
  1357    1  I           6680.5308     -543.391          1.02928          0.00000
  1358    1  I           6680.5401     -543.806          1.03032          0.00000
  1359    1  I           6680.5493     -544.222          1.02855          0.00000
  1360    1  I           6680.5586     -544.637          1.02889          0.00000
  1361    1  I           6680.5678     -545.052          1.02998          0.00000
  1362    1  I           6680.5770     -545.468          1.02906          0.00000
  1363    1  I           6680.5863     -545.883          1.03024          0.00000
  1364    1  I           6680.5955     -546.299          1.02899          0.00000
  1365    1  I           6680.6048     -546.714          1.03025          0.00000
  1366    1  I           6680.6140     -547.130          1.02891          0.00000
  1367    1  I           6680.6232     -547.545          1.03001          0.00000
  1368    1  I           6680.6325     -547.961          1.02964          0.00000
  1369    1  I           6680.6417     -548.376          1.03043          0.00000
  1370    1  I           6680.6510     -548.792          1.02845          0.00000
  1371    1  I           6680.6602     -549.207          1.02870          0.00000
  1372    1  I           6680.6694     -549.622          1.02950          0.00000
  1373    1  I           6680.6787     -550.038          1.02980          0.00000
  1374    1  I           6680.6879     -550.453          1.02959          0.00000
  1375    1  I           6680.6972     -550.869          1.03054          0.00000
  1376    1  I           6680.7064     -551.284          1.03236          0.00000
  1377    1  I           6680.7157     -551.700          1.02942          0.00000
  1378    1  I           6680.7249     -552.115          1.03128          0.00000
  1379    1  I           6680.7341     -552.531          1.03129          0.00000
  1380    1  I           6680.7434     -552.946          1.03043          0.00000
