Header information
 
Source: G339.884-1.2
RA:   16 52  4.67        DEC: -46  8 34.22   (J2000)
OBS. DATE: 20131119          Time of record:   1/  6  7 32.9
No. channels:  1024           First channel plotted     1
Bw (kHz):      0.977
Rest freq. (MHz) :    6668.5195      Av. weight :       0.0000
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
     1    1  I           6669.0000     0.978187          44.5405          0.00000
     2    1  I           6669.0010     0.934288          44.5258          0.00000
     3    1  I           6669.0020     0.890388          44.5230          0.00000
     4    1  I           6669.0029     0.846489          44.5392          0.00000
     5    1  I           6669.0039     0.802590          44.5453          0.00000
     6    1  I           6669.0049     0.758690          44.5423          0.00000
     7    1  I           6669.0059     0.714791          44.5592          0.00000
     8    1  I           6669.0068     0.670891          44.5362          0.00000
     9    1  I           6669.0078     0.626992          44.5691          0.00000
    10    1  I           6669.0088     0.583093          44.5594          0.00000
    11    1  I           6669.0098     0.539193          44.5715          0.00000
    12    1  I           6669.0107     0.495294          44.5341          0.00000
    13    1  I           6669.0117     0.451394          44.5561          0.00000
    14    1  I           6669.0127     0.407495          44.5552          0.00000
    15    1  I           6669.0137     0.363596          44.5451          0.00000
    16    1  I           6669.0146     0.319696          44.5577          0.00000
    17    1  I           6669.0156     0.275797          44.5753          0.00000
    18    1  I           6669.0166     0.231897          44.5837          0.00000
    19    1  I           6669.0176     0.187998          44.5687          0.00000
    20    1  I           6669.0186     0.144099          44.5885          0.00000
    21    1  I           6669.0195     0.100199          44.5688          0.00000
    22    1  I           6669.0205     0.562997E-01      44.5718          0.00000
    23    1  I           6669.0215     0.124003E-01      44.5854          0.00000
    24    1  I           6669.0225    -0.314991E-01      44.5753          0.00000
    25    1  I           6669.0234    -0.753985E-01      44.5917          0.00000
    26    1  I           6669.0244    -0.119298          44.5845          0.00000
    27    1  I           6669.0254    -0.163197          44.5849          0.00000
    28    1  I           6669.0264    -0.207097          44.5685          0.00000
    29    1  I           6669.0273    -0.250996          44.5765          0.00000
    30    1  I           6669.0283    -0.294895          44.5786          0.00000
    31    1  I           6669.0293    -0.338795          44.6184          0.00000
    32    1  I           6669.0303    -0.382694          44.5920          0.00000
    33    1  I           6669.0312    -0.426594          44.5895          0.00000
    34    1  I           6669.0322    -0.470493          44.6186          0.00000
    35    1  I           6669.0332    -0.514393          44.6071          0.00000
    36    1  I           6669.0342    -0.558292          44.6137          0.00000
    37    1  I           6669.0352    -0.602191          44.6208          0.00000
    38    1  I           6669.0361    -0.646091          44.6058          0.00000
    39    1  I           6669.0371    -0.689990          44.6305          0.00000
    40    1  I           6669.0381    -0.733890          44.6173          0.00000
    41    1  I           6669.0391    -0.777789          44.6168          0.00000
    42    1  I           6669.0400    -0.821688          44.6036          0.00000
    43    1  I           6669.0410    -0.865588          44.6217          0.00000
    44    1  I           6669.0420    -0.909487          44.6449          0.00000
    45    1  I           6669.0430    -0.953386          44.6420          0.00000
    46    1  I           6669.0439    -0.997286          44.6337          0.00000
    47    1  I           6669.0449     -1.04119          44.6397          0.00000
    48    1  I           6669.0459     -1.08508          44.6406          0.00000
    49    1  I           6669.0469     -1.12898          44.6262          0.00000
    50    1  I           6669.0479     -1.17288          44.6305          0.00000
    51    1  I           6669.0488     -1.21678          44.6637          0.00000
    52    1  I           6669.0498     -1.26068          44.6595          0.00000
    53    1  I           6669.0508     -1.30458          44.6521          0.00000
    54    1  I           6669.0518     -1.34848          44.6741          0.00000
    55    1  I           6669.0527     -1.39238          44.6454          0.00000
    56    1  I           6669.0537     -1.43628          44.6473          0.00000
    57    1  I           6669.0547     -1.48018          44.6666          0.00000
    58    1  I           6669.0557     -1.52408          44.6705          0.00000
    59    1  I           6669.0566     -1.56798          44.6744          0.00000
    60    1  I           6669.0576     -1.61188          44.6516          0.00000
    61    1  I           6669.0586     -1.65578          44.6714          0.00000
    62    1  I           6669.0596     -1.69968          44.6573          0.00000
    63    1  I           6669.0605     -1.74358          44.6714          0.00000
    64    1  I           6669.0615     -1.78748          44.6672          0.00000
    65    1  I           6669.0625     -1.83137          44.6449          0.00000
    66    1  I           6669.0635     -1.87527          44.6690          0.00000
    67    1  I           6669.0645     -1.91917          44.7070          0.00000
    68    1  I           6669.0654     -1.96307          44.6649          0.00000
    69    1  I           6669.0664     -2.00697          44.6788          0.00000
    70    1  I           6669.0674     -2.05087          44.6841          0.00000
    71    1  I           6669.0684     -2.09477          44.6846          0.00000
    72    1  I           6669.0693     -2.13867          44.6913          0.00000
    73    1  I           6669.0703     -2.18257          44.6955          0.00000
    74    1  I           6669.0713     -2.22647          44.6841          0.00000
    75    1  I           6669.0723     -2.27037          44.6768          0.00000
    76    1  I           6669.0732     -2.31427          44.6982          0.00000
    77    1  I           6669.0742     -2.35817          44.6928          0.00000
    78    1  I           6669.0752     -2.40207          44.6911          0.00000
    79    1  I           6669.0762     -2.44597          44.7025          0.00000
    80    1  I           6669.0771     -2.48987          44.7077          0.00000
    81    1  I           6669.0781     -2.53377          44.7175          0.00000
    82    1  I           6669.0791     -2.57766          44.6832          0.00000
    83    1  I           6669.0801     -2.62156          44.7086          0.00000
    84    1  I           6669.0811     -2.66546          44.6838          0.00000
    85    1  I           6669.0820     -2.70936          44.7025          0.00000
    86    1  I           6669.0830     -2.75326          44.7166          0.00000
    87    1  I           6669.0840     -2.79716          44.6931          0.00000
    88    1  I           6669.0850     -2.84106          44.7013          0.00000
    89    1  I           6669.0859     -2.88496          44.7101          0.00000
    90    1  I           6669.0869     -2.92886          44.7114          0.00000
    91    1  I           6669.0879     -2.97276          44.7272          0.00000
    92    1  I           6669.0889     -3.01666          44.7414          0.00000
    93    1  I           6669.0898     -3.06056          44.7263          0.00000
    94    1  I           6669.0908     -3.10446          44.7349          0.00000
    95    1  I           6669.0918     -3.14836          44.7400          0.00000
    96    1  I           6669.0928     -3.19226          44.7204          0.00000
    97    1  I           6669.0938     -3.23616          44.7322          0.00000
    98    1  I           6669.0947     -3.28006          44.7255          0.00000
    99    1  I           6669.0957     -3.32395          44.7454          0.00000
   100    1  I           6669.0967     -3.36785          44.7291          0.00000
   101    1  I           6669.0977     -3.41175          44.7403          0.00000
   102    1  I           6669.0986     -3.45565          44.7272          0.00000
   103    1  I           6669.0996     -3.49955          44.7301          0.00000
   104    1  I           6669.1006     -3.54345          44.7607          0.00000
   105    1  I           6669.1016     -3.58735          44.7475          0.00000
   106    1  I           6669.1025     -3.63125          44.7403          0.00000
   107    1  I           6669.1035     -3.67515          44.7568          0.00000
   108    1  I           6669.1045     -3.71905          44.7432          0.00000
   109    1  I           6669.1055     -3.76295          44.7595          0.00000
   110    1  I           6669.1064     -3.80685          44.7477          0.00000
   111    1  I           6669.1074     -3.85075          44.7389          0.00000
   112    1  I           6669.1084     -3.89465          44.7451          0.00000
   113    1  I           6669.1094     -3.93855          44.7430          0.00000
   114    1  I           6669.1104     -3.98245          44.7715          0.00000
   115    1  I           6669.1113     -4.02634          44.7473          0.00000
   116    1  I           6669.1123     -4.07024          44.7612          0.00000
   117    1  I           6669.1133     -4.11414          44.7636          0.00000
   118    1  I           6669.1143     -4.15804          44.7512          0.00000
   119    1  I           6669.1152     -4.20194          44.7586          0.00000
   120    1  I           6669.1162     -4.24584          44.7557          0.00000
   121    1  I           6669.1172     -4.28974          44.7704          0.00000
   122    1  I           6669.1182     -4.33364          44.7703          0.00000
   123    1  I           6669.1191     -4.37754          44.7700          0.00000
   124    1  I           6669.1201     -4.42144          44.7638          0.00000
   125    1  I           6669.1211     -4.46534          44.7649          0.00000
   126    1  I           6669.1221     -4.50924          44.7784          0.00000
   127    1  I           6669.1230     -4.55314          44.7678          0.00000
   128    1  I           6669.1240     -4.59704          44.7678          0.00000
   129    1  I           6669.1250     -4.64094          44.7944          0.00000
   130    1  I           6669.1260     -4.68484          44.7489          0.00000
   131    1  I           6669.1270     -4.72873          44.7645          0.00000
   132    1  I           6669.1279     -4.77263          44.7545          0.00000
   133    1  I           6669.1289     -4.81653          44.7814          0.00000
   134    1  I           6669.1299     -4.86043          44.7813          0.00000
   135    1  I           6669.1309     -4.90433          44.7908          0.00000
   136    1  I           6669.1318     -4.94823          44.7687          0.00000
   137    1  I           6669.1328     -4.99213          44.7844          0.00000
   138    1  I           6669.1338     -5.03603          44.7878          0.00000
