Header information
 
Source: G305.200+0.0
RA:   13 11 16.89        DEC: -62 45 54.99   (J2000)
OBS. DATE: 20150327          Time of record:   0/ 17 23 31.0
No. channels:   281           First channel plotted  1100
Bw (kHz):     10.067
Rest freq. (MHz) :    6668.5195      Av. weight :       0.0056
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
  1100    1  I           6680.0641     -477.379          1.07131          0.00000
  1101    1  I           6680.0742     -477.831          1.07150          0.00000
  1102    1  I           6680.0843     -478.284          1.07109          0.00000
  1103    1  I           6680.0944     -478.736          1.07145          0.00000
  1104    1  I           6680.1044     -479.189          1.07152          0.00000
  1105    1  I           6680.1145     -479.641          1.07107          0.00000
  1106    1  I           6680.1246     -480.094          1.07098          0.00000
  1107    1  I           6680.1346     -480.546          1.07113          0.00000
  1108    1  I           6680.1447     -480.999          1.07129          0.00000
  1109    1  I           6680.1548     -481.451          1.07123          0.00000
  1110    1  I           6680.1648     -481.904          1.07073          0.00000
  1111    1  I           6680.1749     -482.357          1.07084          0.00000
  1112    1  I           6680.1850     -482.809          1.07071          0.00000
  1113    1  I           6680.1950     -483.262          1.07005          0.00000
  1114    1  I           6680.2051     -483.714          1.07058          0.00000
  1115    1  I           6680.2152     -484.167          1.07052          0.00000
  1116    1  I           6680.2252     -484.619          1.07028          0.00000
  1117    1  I           6680.2353     -485.072          1.07020          0.00000
  1118    1  I           6680.2454     -485.524          1.06997          0.00000
  1119    1  I           6680.2554     -485.977          1.07048          0.00000
  1120    1  I           6680.2655     -486.429          1.06981          0.00000
  1121    1  I           6680.2756     -486.882          1.07037          0.00000
  1122    1  I           6680.2856     -487.334          1.06980          0.00000
  1123    1  I           6680.2957     -487.787          1.06947          0.00000
  1124    1  I           6680.3058     -488.240          1.06996          0.00000
  1125    1  I           6680.3158     -488.692          1.07011          0.00000
  1126    1  I           6680.3259     -489.145          1.06917          0.00000
  1127    1  I           6680.3360     -489.597          1.06955          0.00000
  1128    1  I           6680.3460     -490.050          1.06951          0.00000
  1129    1  I           6680.3561     -490.502          1.06998          0.00000
  1130    1  I           6680.3662     -490.955          1.07072          0.00000
  1131    1  I           6680.3762     -491.407          1.07081          0.00000
  1132    1  I           6680.3863     -491.860          1.07108          0.00000
  1133    1  I           6680.3964     -492.312          1.07082          0.00000
  1134    1  I           6680.4064     -492.765          1.07055          0.00000
  1135    1  I           6680.4165     -493.217          1.07014          0.00000
  1136    1  I           6680.4266     -493.670          1.07001          0.00000
  1137    1  I           6680.4366     -494.122          1.06942          0.00000
  1138    1  I           6680.4467     -494.575          1.06896          0.00000
  1139    1  I           6680.4568     -495.028          1.06859          0.00000
  1140    1  I           6680.4668     -495.480          1.06894          0.00000
  1141    1  I           6680.4769     -495.933          1.06793          0.00000
  1142    1  I           6680.4870     -496.385          1.06848          0.00000
  1143    1  I           6680.4971     -496.838          1.06836          0.00000
  1144    1  I           6680.5071     -497.290          1.06830          0.00000
  1145    1  I           6680.5172     -497.743          1.06768          0.00000
  1146    1  I           6680.5273     -498.195          1.06774          0.00000
  1147    1  I           6680.5373     -498.648          1.06831          0.00000
  1148    1  I           6680.5474     -499.100          1.06788          0.00000
  1149    1  I           6680.5575     -499.553          1.06824          0.00000
  1150    1  I           6680.5675     -500.005          1.06763          0.00000
  1151    1  I           6680.5776     -500.458          1.06839          0.00000
  1152    1  I           6680.5877     -500.910          1.06806          0.00000
